Number,Vendor,Length,Width,Height,Price,Description,Weight
5174406AA,Crown,15.00,11.50,7.00,115,"Tail Light",3.70
5170941AA,Crown,24.50,14.50,3.00,115,"Window Regulator",5.70
272712,Crown,0.75,0.75,0.50,0.92,Nut,0.10
56007299,Crown,7.00,7.00,5.00,91.67,"Wiper Switch",0.40
4798885AA,Crown,9.25,3.75,3.25,38.33,"Brake Pad Set",3.80
5072216AA,Crown,8.00,4.75,3.00,43.33,"Brake Pad Set",5.10
83500501,Crown,1.75,1.75,0.25,3.33,"Input Seal",0.10
JA000957,Crown,6.50,5.50,0.12,2.17,"Output Housing Gasket",0.10
RT31043,Crown,24.00,18.50,8.50,676.66,"Disc Brake Conversion Kit",55.40
83500176,Crown,24.00,2.75,2.75,48.33,"Shock Absorber",3.50
4861271AD,Crown,8.00,5.00,4.25,53.33,"Engine Mount",4.30
J8126513,Crown,11.25,10.50,9.00,300,"Differential Case Assembly",12.10
J3240172,Crown,8.25,5.00,3.75,75,"Fuel Pump",1.10
55079421AF,Crown,14.75,10.00,7.25,150,"Tail Light",2.60
4677303,Crown,8.00,6.00,4.25,48.33,"Receiver Drier",1.70
J3229982,Crown,9.00,7.00,5.50,113.33,"Brake Caliper",12.00
68003970AA,Crown,15.00,3.00,2.25,56.67,"Receiver Drier",0.81
4670026AB,Crown,2.50,2.50,1.25,60,"Clutch Release Bearing",0.40
J3208474,Crown,2.75,2.75,0.50,5.83,"Pinion Seal Kit",0.30
J3200192,Crown,6.00,4.00,4.00,12.5,"Distributor Cap",0.50
33004280,Crown,4.00,3.00,3.00,35,"Air Temperature Sensor",0.10
J0933747,Crown,3.25,3.25,1.50,10.83,"Clutch Slave Cylinder Repair Kit",0.20
56001861,Crown,3.50,3.25,1.50,23.33,"Headlight Switch",0.20
J3234433,Crown,3.50,3.50,1.25,31.67,"Timing Chain",1.10
56007255,Crown,4.00,4.00,4.00,70,"Turn Signal Switch",0.40
SCP20021,Crown,21.00,20.00,3.50,59.99,"Seat Cover Set",4.50
5045495AA,Crown,17.25,5.00,1.00,15,"Exhaust Manifold Gasket",0.69
5080246AA,Crown,3.25,3.25,1.25,26.67,"Drive Belt Tensioner Pulley",0.30
J5361280,Crown,7.00,7.00,0.50,15,"Parking Brake Cable",0.20
J0941400,Crown,1.50,1.50,0.50,0.58,"Transfer Case Insulator",0.10
4668180AB,Crown,8.25,3.00,0.75,15,"Accessory Drive Belt",0.10
52067595,Crown,3.00,3.00,0.50,6.67,"Pinion Seal",0.10
J0809295,Crown,1.50,1.50,0.12,1.25,"Intermediate Shaft Bearing Spacer",0.10
5080556AE,Crown,9.50,4.00,3.25,46.67,"Brake Pad Set",5.00
5019447K5,Crown,4.75,2.75,1.25,70,"Connecting Rod Bearing Set",0.60
SC30221,Crown,12.50,12.50,5.00,59.99,"Seat Cover Set",3.30
J8128445,Crown,4.50,5.00,2.00,36.67,"Distributor Pickup",0.50
5015254AB,Crown,10.00,4.25,3.25,46.67,"Brake Pad Set",5.90
J0943149,Crown,2.25,1.75,1.00,2.33,"Drum Brake Adjuster Lever",0.10
52098790,Crown,36.00,6.00,6.00,650,"Drive Shaft",19.00
5080568AB,Crown,9.25,6.50,3.50,53.33,"Parking Brake Shoe Set",4.50
68401155AA,Crown,13.50,13.00,2.75,233.33,"Differential Gear Set",5.60
5FW47DX8AB,Crown,11.75,3.75,3.75,38.33,"Door Handle",0.75
55054587,Crown,8.00,6.00,4.25,26.67,"Side Marker Light",0.60
83506255,Crown,3.00,2.75,0.12,3.17,"Synchronizer Spring",0.10
68079412AB,Crown,14.50,8.00,5.00,125,"Water Pump",5.06
55078163AA,Crown,40.00,2.00,1.00,45,"Door Glass Weatherstrip",0.90
68050126AB,Crown,29.50,22.00,6.75,216.67,Radiator,10.00
5252070,Crown,11.00,0.75,0.75,38.33,"Shift Shaft",0.80
JA000970,Crown,2.25,2.25,0.12,1.3,"Shift Lever Spring",0.02
J5350589,Crown,41.00,2.00,2.00,36.4,"Steering Adjuster",3.20
83502867,Crown,19.00,4.00,2.00,46.67,"Shock Absorber",3.40
J3124570,Crown,3.50,1.50,3.50,8.33,"Output Bearing Cup",0.20
4864043,Crown,7.00,4.00,1.00,10.83,"Timing Chain Damper",0.10
A998,Crown,5.25,0.75,0.75,11.67,"Intermediate Shaft",1.40
J8126682,Crown,3.50,3.50,1.75,46.67,"Timing Chain",0.90
5142556AA,Crown,9.25,7.25,5.00,120,"Brake Caliper",5.70
52089065AA,Crown,2.50,3.00,3.00,15.83,"Control Arm Bushing",0.90
55394229AG,Crown,23.00,11.00,3.00,108.33,"Window Regulator",4.20
55154925,Crown,28.00,11.25,2.50,131.67,"Window Regulator",6.10
68004019AD,Crown,8.00,2.50,2.50,23.33,"Wheel Speed Sensor",0.25
55154786,Crown,14.00,2.00,1.50,18.33,"Wiper Arm",0.50
53004245,Crown,4.25,4.00,1.75,91.67,"Oxygen Sensor",0.30
1BE94RXFAC,Crown,84.00,5.25,1.25,43.33,"Bumper Cover",1.56
J3180458,Crown,1.00,1.00,1.00,1.17,"Valve Spring Lock",0.10
5066246AA,Crown,3.75,1.00,0.75,2.67,"Anti-Rattle Clip",0.10
4567025,Crown,2.75,2.75,1.00,25,Bearing,0.30
52111596AA,Crown,41.50,5.50,5.25,416.67,"Drive Shaft",18.50
5160364AD,Crown,15.50,11.50,6.75,140,"Tail Light",2.50
55155143AG,Crown,14.50,14.25,5.50,113.33,"Tail Light",3.30
5KC87TZZAG,Crown,46.00,20.00,7.00,66.67,"Fender Flare",9.60
4857307AB,Crown,16.25,13.50,6.00,75,"Tail Light",2.70
56007348,Crown,1.75,1.25,1.25,25,Flasher,0.10
J0801816,Crown,1.50,1.50,0.25,2.17,"Sector Shaft Seal",0.06
53001092,Crown,3.50,3.50,3.50,43.33,"Clutch Release Bearing",1.10
33004020,Crown,3.25,3.25,1.25,21.67,"Crankshaft Sprocket",0.60
4883718AB,Crown,4.75,4.50,2.50,130,"Third Gear",2.40
J3222706,Crown,29.00,1.00,1.00,18.33,"Parking Brake Cable",0.50
55076223,Crown,6.50,6.00,3.00,25.83,"Door Handle",1.30
A924,Crown,2.25,2.25,1.50,20,"Intermediate Shaft Bearing",0.30
52125367AA,Crown,6.00,4.25,4.25,30,"Tie Rod End",2.06
J8134627,Crown,6.00,4.00,4.00,48.33,"Door Lock Actuator",1.19
J0647745,Crown,9.00,6.75,1.00,56.67,"Carburetor Repair Kit",0.20
5174060AC,Crown,7.50,3.50,2.00,41.67,"Sway Bar Link",1.00
56028183,Crown,3.00,3.00,2.00,31.67,"Vehicle Speed Sensor",0.30
J3234235,Crown,3.25,3.25,1.25,30,"Crankshaft Sprocket",0.60
68376742AA,Crown,8.50,8.00,3.50,91.67,"Brake Caliper",6.80
J0648061,Crown,1.25,2.25,0.25,10,"Differential Carrier Shim Kit",0.10
J5350541,Crown,22.00,2.50,1.00,20,"Brake Release Cable",0.20
83503066,Crown,1.75,0.75,0.75,1.58,"Wheel Stud",0.10
56042341AF,Crown,5.00,5.00,5.00,108.33,Clockspring,0.60
5174358AA,Crown,31.00,19.00,5.50,200,"Cooling Fan Module",15.40
4779612AD,Crown,5.63,7.38,7.25,80,Hub,6.60
J8121399,Crown,3.00,3.00,0.50,3.33,"Spindle Seal",0.10
J3242203,Crown,14.50,11.75,0.75,20.83,"Parking Brake Cable",0.60
J5752285,Crown,11.00,10.00,3.00,18.33,"Speedometer Cable",0.60
5183201AD,Crown,12.25,9.00,6.00,180,"Fuel Module",2.60
5015860AA,Crown,6.00,6.00,6.00,106.67,"Blower Motor",3.80
52058937AB,Crown,5.50,7.00,5.00,60,"Engine Mount",6.10
55055150,Crown,39.00,5.00,17.00,58.33,Grille,3.00
J5459189,Crown,1.50,1.25,1.00,8.33,"Control Knob",0.10
33000184,Crown,6.50,1.50,1.25,13.33,"Fuel Filter",0.10
J0647801,Crown,1.25,1.25,2.00,11.67,"Brake Light Switch",0.10
5273883AD,Crown,6.50,6.00,3.00,75,"Engine Mount",2.80
56002011,Crown,4.25,4.00,1.50,43.33,"Turn Signal Switch",0.40
56009449AC,Crown,12.00,4.50,3.25,125,"Window Switch",0.60
J3233904,Crown,16.25,11.50,1.00,20,"Parking Brake Cable",1.10
J3192365,Crown,1.50,1.50,0.25,4.17,"Cluster Gear Thrust Washer",0.10
J8123320,Crown,4.50,2.50,2.00,25,"Steering Adjuster",1.30
55015782,Crown,16.00,15.00,4.00,36.67,"Door Weatherstrip",2.70
53001101,Crown,3.25,3.25,1.00,35,"Vacuum Switch",0.20
52003789,Crown,13.00,6.50,2.75,20,"Radiator Hose",0.60
4668739AD,Crown,8.00,7.50,4.75,158.33,"Clutch Slave Cylinder",1.80
4857701AB,Crown,18.25,13.25,8.00,150,Headlight,5.30
68068261AA,Crown,20.50,0.75,0.75,30,"Liftgate Glass Support",0.44
53010196,Crown,14.75,14.00,4.75,200,"Exhaust Manifold",9.30
5278631AA,Crown,4.00,4.00,4.00,65,"Fuel Pressure Regulator",0.60
8126614SP,Crown,1.25,3.50,3.50,24.17,"Universal Joint",1.20
56002007,Crown,8.00,3.75,3.75,91.67,"Blower Motor",2.80
56009135,Crown,9.00,5.50,4.00,58.33,"Multifunction Switch",0.40
55345787,Crown,35.00,16.25,3.00,226.67,Tailgate,17.20
J3235929,Crown,3.00,3.00,0.50,2.5,"Axle Shaft Seal",0.10
52110141AB,Crown,5.00,2.25,2.25,6.67,"Sway Bar Bushing Bracket",0.60
52087863,Crown,9.00,1.50,1.50,19.17,"Sway Bar Link",0.38
J3243102,Crown,13.50,5.50,4.25,115,"Oil Pump Kit",4.90
5072176AA,Crown,12.00,8.75,1.00,23.33,"Cabin Air Filter",0.40
J3201928,Crown,4.25,1.50,1.00,1.57,"Brake Shoe Return Spring",0.10
J3211538,Crown,1.50,0.50,0.50,3.17,"PCV Valve",0.10
J5356918,Crown,3.00,3.00,3.00,56.67,"Clutch Release Bearing",1.40
5003163AA,Crown,12.00,4.50,4.00,30,"Brake Pad Set",4.50
5142579AA,Crown,9.00,4.00,1.25,91.67,"Timing Belt",0.60
J5357889,Crown,12.00,6.00,3.50,24.17,"Air Intake Duct",0.50
4779244AD,Crown,4.50,4.50,2.00,20.83,"Wheel Speed Sensor",0.19
4761600,Crown,14.00,11.00,6.00,98.33,"Brake Shoe Set",13.60
53030842,Crown,3.25,3.00,1.50,78.33,"Fuel Injector",0.10
5AGKM,Crown,46.00,26.00,5.00,181.67,"Fender Flare Master Kit",12.40
J5358677,Crown,14.00,9.00,1.00,16.67,"Accelerator Cable",0.20
J8122350,Crown,4.00,4.00,4.00,13.33,"Distributor Vacuum Advance",0.40
52098501,Crown,36.50,5.50,5.50,658.33,"Drive Shaft",22.00
J8132407,Crown,1.00,0.50,0.50,4.5,"Shift Lever Pin",0.10
J5358980,Crown,3.00,3.00,0.25,5,"Output Seal",0.20
J5359012,Crown,7.00,6.50,1.50,17.68,"Leaf Spring Plate",3.30
4684322AB,Crown,23.00,9.50,5.00,46.67,"Power Steering Pressure Hose",1.10
J3251236,Crown,27.00,5.00,1.50,23.33,"Power Steering Pressure Hose",0.80
J4006547,Crown,1.75,0.50,0.50,1.58,"Exhaust Manifold Stud",0.10
68287923AC,Crown,56.00,27.00,15.50,37.5,"Fender Liner",2.80
52027922,Crown,8.75,8.00,3.50,113.33,"Fan Clutch",3.60
52090206AG,Crown,5.00,11.00,12.00,115,"Control Arm",5.60
33001016AL,Crown,2.00,1.25,1.00,5.83,"Oil Filler Cap",0.10
68293034AA,Crown,14.00,3.50,2.00,38.33,"Sway Bar Link",1.40
55038003AG,Crown,36.00,26.25,4.00,241.67,"A/C Condenser & Transmission Cooler",11.20
52079712AC,Crown,12.00,4.00,3.00,16.67,"Radiator Hose",0.80
J5362956,Crown,57.00,3.50,2.50,183.33,"Leaf Spring Assembly",53.00
52000707,Crown,53.00,9.00,3.50,115,"Leaf Spring Assembly",31.00
52058501,Crown,5.00,4.00,6.00,43.33,"Engine Mount",3.20
4877433,Crown,13.00,12.75,3.25,76.67,"Brake Drum",19.20
5080563AC,Crown,9.75,4.00,3.00,40,"Brake Pad Set",3.50
J8133683,Crown,3.75,3.00,1.75,14.17,"Crankshaft Thrust Bearing Set",0.50
55155139AI,Crown,13.00,12.00,5.00,90,"Tail Light",3.50
55010655,Crown,13.00,13.00,12.00,13.33,"Windshield Molding",0.60
55024249,Crown,9.00,8.00,3.50,25,Mirror,0.90
J5751929,Crown,8.00,2.50,2.50,41.67,"Window Handle",1.20
55369596AC,Crown,47.75,37.75,13.25,120,Fender,9.00
68299399AA,Crown,9.75,4.00,3.25,53.33,"Brake Pad Set",2.80
5105513AA,Crown,11.25,11.25,2.00,63.33,"Brake Rotor",13.30
J0800293,Crown,4.00,4.00,4.00,6.5,"Thermostat Housing",0.30
J3236434,Crown,0.50,0.50,0.12,1.33,"Brake Hose Washer",0.10
A8838,Crown,41.00,1.25,1.25,208.33,"Worm Shaft",4.60
J3201958,Crown,1.25,0.75,0.75,0.75,"Parking Brake Lever Spring",0.10
4556020AB,Crown,5.00,3.00,0.25,2.5,"Expansion Plug",0.02
5DY01TZZAC,Crown,24.00,12.00,10.00,66.67,"Bumper End Cap",2.50
56028200,Crown,3.25,3.25,1.50,60,"Oxygen Sensor",0.30
83500210K4,Crown,10.00,5.00,2.00,56.67,"Piston Ring Set",0.60
J0131016,Crown,1.25,1.25,0.12,0.33,"Steering Bellcrank Shaft Washer",0.10
J0646729,Crown,4.00,4.00,4.00,36.67,Shackle,1.80
J0974016,Crown,20.50,14.00,1.50,150,"Tailgate Window Regulator",7.20
J3242855,Crown,0.50,4.50,30.00,9.83,"Manifold Gasket Set",0.40
5356581,Crown,5.75,5.75,2.50,4.58,"Muffler Hanger",0.50
RT28071,Crown,5.00,3.00,2.25,96.67,"LED Bulb Kit",0.13
56027917,Crown,3.50,3.50,1.75,58.33,"Oxygen Sensor",0.30
J3243152,Crown,30.00,10.00,12.50,183.33,"Engine Oil Pan",12.20
55156614AE,Crown,13.50,11.00,10.50,113.33,"Tail Light",3.50
83502930,Crown,1.00,0.75,0.75,1.65,"Shift Lever Isolator",0.10
J5351274,Crown,8.25,2.00,0.75,15,"Clutch Rod",0.40
52088284AE,Crown,4.00,2.50,2.50,9.17,"Sway Bar Bushing",10.00
J8128482,Crown,2.00,2.00,0.25,3.17,Bulb,0.10
4668331AC,Crown,6.75,6.25,3.25,115,"Clutch Slave Cylinder",0.60
A500,Crown,4.00,2.50,2.50,11.27,"Leaf Spring Bracket",1.30
4670508AE,Crown,22.00,4.00,3.25,53.33,"Tension Strut",5.00
J3166547,Crown,1.75,1.50,0.50,10,"Radiator Draincock",0.10
5142557AB,Crown,9.25,7.25,5.00,120,"Brake Caliper",5.70
B0015402,Crown,18.00,3.00,0.50,7.08,"Accessory Drive Belt",0.20
5142222AA,Crown,2.00,4.00,4.00,63.33,"Universal Joint",2.00
68020626AA,Crown,11.25,6.75,4.50,48.33,"Parking Brake Shoe Set",2.30
4796337,Crown,9.25,4.25,3.25,36.67,"Parking Brake Shoe Set",2.20
J3223346,Crown,3.50,3.50,1.50,13.33,"Wheel Bearing Cup",0.20
J0052980,Crown,4.00,4.00,1.00,28.33,"Differential Carrier Bearing Cup",0.60
G0004958,Crown,12.00,0.75,0.75,40,"Decklid Support",0.30
J8130875,Crown,2.75,2.75,2.50,31.67,"Input Shaft Bearing",0.10
4891097AA,Crown,8.00,6.50,6.50,14.57,"Air Filter",0.80
56027873,Crown,2.50,1.00,1.00,20,"Coolant Temperature Sensor",0.10
5086774AA,Crown,1.00,4.00,4.00,81.67,"Wheel Bearing",1.10
J3172319,Crown,1.00,1.00,1.00,1.5,"Expansion Plug",0.10
J4002337,Crown,1.00,0.50,0.50,0.5,"Fender Flare Screw",0.10
52108424AA,Crown,2.25,2.25,0.25,5.83,"Oil Pump Seal",0.06
J8124930,Crown,1.75,1.75,0.25,0.95,"Snap Ring",0.10
33002709,Crown,12.00,6.00,5.00,148.33,Starter,8.90
53020490,Crown,19.00,7.00,0.50,21.67,"Cylinder Head Gasket",0.40
56002292,Crown,16.00,2.75,1.00,7.92,"Wiper Blade",0.30
4238864R,Crown,12.00,12.00,5.50,80,"Brake Rotor",29.00
56042023,Crown,3.25,3.25,1.50,15.83,"Brake Light Switch",0.10
J5352787,Crown,3.00,1.25,0.50,10.83,"Sway Bar Link Pin",0.30
4886279AA,Crown,9.75,4.25,3.25,43.33,"Brake Pad Set",4.80
4675806AC,Crown,28.00,2.00,2.00,45,"Liftgate Support",1.90
J5359384,Crown,29.00,5.75,4.75,566.67,"Drive Shaft",14.00
J0640959,Crown,2.50,2.50,0.50,3.33,"Axle Shaft Seal",0.10
55364640AA,Crown,23.00,1.00,1.00,36.67,"Liftgate Support",0.90
J8124695,Crown,21.50,20.00,3.50,86.67,"Complete Engine Gasket Set",4.50
5174311AB,Crown,9.00,6.25,3.50,60,"Brake Pad Set",5.00
J5350750,Crown,40.00,1.00,1.00,11.27,"Accelerator Cable",0.10
55294926,Crown,62.00,16.00,8.00,113.33,"Header Panel",11.00
53007190,Crown,10.00,5.00,4.75,141.67,Distributor,2.10
J4000056,Crown,0.63,0.25,0.25,3.33,"Dashboard Switch Nut",0.10
SPRE14PMC5,Crown,3.75,1.00,0.75,7.5,"Spark Plug",0.13
82400041,Crown,3.00,3.00,3.00,13.33,"Fuel Cap",0.30
5066373AA,Crown,6.00,4.50,2.00,28.33,"Tie Rod End",1.40
4884385AE,Crown,8.00,11.25,6.00,116.67,"Engine Oil Pan",8.50
4782561AE,Crown,20.50,4.00,4.00,96.67,"Control Arm",7.40
68078951AC,Crown,18.25,14.00,5.63,158.33,"Engine Oil Pan",19.00
83300109,Crown,10.75,6.25,5.00,108.33,"Brake Master Cylinder",1.60
J0989844,Crown,10.00,10.00,3.50,26.67,"Cowl Weatherstrip",1.60
J3206693,Crown,5.75,5.50,2.50,30,"Camshaft Sprocket",2.00
4805858AA,Crown,7.00,5.00,5.00,31.67,"Fog Light",0.60
5011977AB,Crown,12.50,12.00,4.50,130,"Steering Knuckle",14.10
RT31018,Crown,18.00,13.00,8.00,475,"HD Brake Booster Kit",20.00
J0999396,Crown,4.50,4.50,2.00,58.33,"Hub Flange",1.60
52008184,Crown,14.25,13.75,3.25,58.33,"Brake Rotor",11.90
4860082AF,Crown,15.00,7.00,5.00,48.33,"Brake Hose",0.90
J3225787,Crown,2.50,1.00,0.50,11.5,"Brake Light Switch",0.10
5EE84TZZAGK,Crown,61.00,7.25,5.00,165,"Bumper Kit",27.60
83500495,Crown,6.75,4.75,4.00,14.17,"Cv Joint Boot Kit",0.70
J3234707,Crown,2.50,2.50,2.50,6,"Control Arm Bushing",0.30
55155117,Crown,13.00,11.00,10.00,75,"Tail Light",3.40
L0003157AK,Crown,1.25,1.25,1.25,4.17,Bulb,0.06
56003119,Crown,1.50,3.25,3.25,33.33,"Headlight Switch",0.20
J0646698,Crown,5.75,5.50,2.50,35,"Crankshaft Pulley",1.40
TRK4,Crown,12.25,4.25,3.25,68.33,"Tie Rod End Kit",4.40
55155138AC,Crown,13.00,12.00,5.00,91.67,"Tail Light",3.60
5183442AA,Crown,10.00,9.00,1.00,56.67,"Wiring Harness Repair Kit",0.80
5191269AA,Crown,2.00,2.00,0.25,1.75,"Brake Caliper Boot",0.02
83504655,Crown,2.50,0.50,0.50,4.33,"Brake Caliper Pin",0.10
J0802040,Crown,7.50,0.50,0.50,4.92,"Fuel Line",0.10
83503722,Crown,3.75,3.50,3.50,78.33,"Vehicle Speed Sensor",0.20
83505432,Crown,13.25,13.00,3.00,366.67,"Differential Gear Set",8.20
J0914946,Crown,1.00,1.00,1.00,3.17,"Shift Knob",0.10
L002825W5W,Crown,1.00,0.50,0.50,2.66,Bulb,0.06
J5762385,Crown,24.00,6.00,5.00,9.17,"Door Glass Weatherstrip",0.30
J0642059,Crown,19.00,1.00,1.00,23.33,"Steering Adjuster",1.30
52098666K,Crown,14.75,14.50,6.50,250,"Disc Brake Service Kit",32.00
J5352079,Crown,3.00,1.50,1.50,9.17,"Leaf Spring Bushing",0.40
52089269C,Crown,14.00,13.50,3.25,80,"Brake Rotor",23.50
55155126,Crown,6.50,6.75,12.25,81.67,Headlight,1.70
4874432AC,Crown,3.50,3.50,1.75,73.33,"Idle Air Control Valve",0.40
68150040AA,Crown,0.50,0.50,0.10,1.33,"Fuel Injector O-Ring",0.02
J0688933,Crown,8.00,6.00,4.50,43.33,"Windshield Hinge",1.94
5184647AB,Crown,15.00,6.00,0.88,20,"Accessory Drive Belt",0.44
J0921055,Crown,1.75,0.75,0.75,4.17,"Leaf Spring Bushing",0.10
4713193P,Crown,33.00,7.50,7.50,291.67,"Axle Shaft",19.00
5127521AA,Crown,6.00,5.00,4.00,108.33,"Cooling Fan Motor",2.90
68017176AA,Crown,9.25,9.25,9.25,2083.33,"Differential Case Assembly",27.60
J5356661,Crown,3.25,3.25,1.00,18.33,"Wheel Bearing",8.00
RT26065,Crown,24.50,1.75,0.75,21,"Windshield Channel",0.56
J5362950,Crown,47.50,2.50,7.50,153.33,"Leaf Spring Assembly",40.00
4684442AB,Crown,2.75,2.75,2.00,8,"Bump Stop",0.10
J4200408,Crown,0.75,0.75,0.38,1,"Fender Flare Nut",0.02
J5762337,Crown,11.00,1.50,1.00,13.33,"Wiper Arm",0.10
4612894AB,Crown,5.50,4.25,3.50,60.5,"Drive Belt Tensioner",1.90
J0994345,Crown,5.50,5.00,2.25,106.67,"Differential Clutch Kit",1.80
5047063AA,Crown,3.25,1.25,1.25,7.5,"PCV Valve",0.06
4637500AB,Crown,9.50,5.50,6.00,63.33,"Water Pump",3.30
J3240166,Crown,5.50,2.00,2.00,15,"Intake Valve",0.30
J5359385,Crown,41.25,5.50,5.50,566.67,"Drive Shaft",16.00
J5363440,Crown,7.00,4.00,6.25,17.5,"Leaf Spring Plate",2.80
J5752817,Crown,1.75,1.50,0.50,5,"Dash Light",0.02
4694307AB,Crown,6.25,5.25,4.50,70,"Water Pump",2.20
52059681AD,Crown,28.00,21.00,17.00,950,"Front Pipe",23.00
5181513AC,Crown,15.25,15.25,2.50,125,"Brake Rotor",33.00
5003004AB,Crown,4.00,4.00,1.75,65,"Universal Joint",2.50
J0987911,Crown,1.25,0.38,0.38,4.33,"Dashboard Switch Bezel",0.30
4779197AD,Crown,14.00,13.50,2.50,75,"Brake Rotor",21.80
J3230351,Crown,1.50,0.50,0.50,3.67,"PCV Valve",0.10
4636382,Crown,8.00,8.00,5.75,150,"Input Bearing Retainer",3.20
5019941AA,Crown,10.00,5.00,0.75,31.67,"Blower Motor Resistor Repair Harness",0.20
J5752617,Crown,11.00,10.00,1.00,6.5,"Tailgate Cable",0.20
5020813AB,Crown,1.00,0.50,0.50,2.5,"Door Bumper",0.06
G120368,Crown,1.25,1.25,0.50,0.43,Nut,0.10
83505532,Crown,19.00,6.00,5.00,12.33,"Radiator Hose",1.20
RT28099,Crown,5.75,5.75,2.50,276.67,"5"" Round LED Tail Light Kit",1.20
J5463656,Crown,21.75,1.25,1.25,12.5,"Temperature Control Cable",0.10
5143350AC,Crown,8.00,6.25,4.25,53.33,"Brake Pad Set",5.00
J5355966,Crown,1.50,1.25,1.25,0.83,"Leaf Spring Bushing",0.10
J0654758,Crown,3.75,3.75,0.25,8,"Fuel Filler Neck Grommet",0.10
52018280,Crown,5.50,6.50,6.00,38.33,"Engine Mount",4.00
83501388,Crown,3.00,3.00,2.00,21.67,"Starter Drive",0.69
JA006753,Crown,4.50,3.50,0.12,9.17,"Output Shaft Shim Set",0.13
J3105346,Crown,15.00,9.00,5.00,56.67,Bearing,0.70
83504089,Crown,6.00,5.50,3.50,164.67,"Synchronizer Assembly",1.20
52098802,Crown,41.25,5.50,5.50,458.33,"Drive Shaft",13.00
RT32009,Crown,4.00,4.00,4.00,10,"Hub Cover",0.44
J0911814,Crown,9.25,1.00,0.25,2.5,"Clutch Pedal Shaft",0.30
J4485692,Crown,4.50,3.50,0.75,5,"Axle Shaft Seal",0.10
83500177,Crown,20.00,2.50,3.00,48.33,"Shock Absorber",3.60
55276578AA,Crown,5.00,3.00,1.00,3.67,"Hood Bumper",0.02
J0908593,Crown,3.25,3.25,1.25,12.5,"Fuel Cap",0.20
J8128192,Crown,22.00,11.00,3.00,73.33,"Engine Gasket Set",3.90
52098666,Crown,12.00,12.00,3.00,60,"Brake Rotor",13.30
J5352637,Crown,5.00,3.75,3.75,3.63,"Hub Seal",0.20
33002879AB,Crown,7.25,7.25,2.00,80,"Harmonic Balancer",4.90
5751098K,Crown,4.00,2.50,2.50,25,"Headlight Switch Kit",0.40
55154727,Crown,20.00,2.25,1.00,11.67,"Wiper Blade",0.20
5142559AA,Crown,3.50,4.25,9.75,46.67,"Brake Pad Set",5.40
J3205711,Crown,5.25,2.50,2.50,35,"Camshaft Bearing Set",0.40
55156452AF,Crown,16.00,10.00,7.00,106.67,Mirror,3.90
552549187,Crown,51.00,26.50,7.50,70,"Fender Flare",11.50
5012846AB,Crown,3.25,3.25,0.75,9.17,"Pinion Seal",0.20
J0630117,Crown,1.50,0.50,0.50,0.83,"Clutch Fork Spring",0.10
J3238137,Crown,1.00,4.00,4.00,2,"Hub Seal",0.10
68003699AA,Crown,8.00,6.00,4.50,35,"Caliper Bracket",3.60
52058936AB,Crown,7.00,5.50,5.00,60,"Engine Mount",6.10
J8136656,Crown,2.00,0.75,0.75,8.33,Lifter,0.30
RL596492AD,Crown,12.00,8.25,7.00,383.33,Compressor,14.50
4897244AA,Crown,8.50,8.00,3.50,20,"Fuel Filter",0.80
J5352688,Crown,14.50,2.00,1.00,24.17,"Brake Hose",0.40
5272084,Crown,2.75,2.00,2.00,7,"Control Arm Bushing",0.40
J5351209,Crown,3.25,1.00,1.00,9.17,"Clutch Adjuster",0.30
MD972003,Crown,8.25,7.75,4.75,60,"Water Pump",2.90
J5460640,Crown,3.25,3.25,3.00,40,"Oil Pressure Gauge",0.30
5011976AB,Crown,12.50,12.00,4.50,130,"Steering Knuckle",14.00
83504377,Crown,8.00,8.00,5.00,400,"Ring & Pinion",12.00
J0801332,Crown,3.50,1.00,0.50,0.75,"Shift Lever Spring",0.10
J8126500,Crown,2.00,3.00,3.00,48.33,"Differential Carrier Bearing Kit",1.90
5012521AA,Crown,11.75,7.00,2.00,31.67,"Sway Bar Link",1.30
JA001007,Crown,3.25,3.25,1.25,15.83,"Output Shaft Bearing",0.40
J4007541,Crown,1.50,0.75,0.75,2.67,"Hood Bumper",0.10
5105272AJ,Crown,22.00,5.50,4.00,56.67,"Lateral Link",4.60
4728646,Crown,2.75,0.88,0.88,10.05,Bulb,0.06
52028989AC,Crown,5.00,18.00,7.00,15,"Radiator Hose",1.10
4882837AB,Crown,9.25,7.25,5.75,86.67,"Water Pump",2.40
5010366AA,Crown,3.00,1.00,0.25,30,"Key Blank",0.10
J3224231,Crown,5.00,3.00,0.75,16.67,"Differential Shaft",0.44
4721933AB,Crown,12.00,12.00,1.50,66.67,"Brake Rotor",17.40
8983500806K,Crown,14.00,13.50,3.00,226.67,"Clutch Kit",15.60
4782683AB,Crown,2.00,2.00,2.00,4.5,"Sway Bar Bushing",0.30
5136022AH,Crown,12.25,9.00,6.00,200,"Fuel Module",2.60
CT20015T,Crown,40.00,30.00,10.50,920.93,"Complete Top",64.00
J8126587,Crown,4.50,4.00,2.75,17.5,"Shock Absorber Bracket",0.90
56003406,Crown,7.00,7.00,5.00,32.5,"Headlight Dimmer Switch",0.30
4412522AB,Crown,2.50,2.50,0.50,4.58,"Axle Shaft Seal",0.10
5105649HS,Crown,27.00,4.50,4.50,125,"Axle Shaft Assembly",14.00
68002388AB,Crown,10.50,4.50,4.25,80,"Wiper Motor",2.60
