REPLACES_PART,QUANTITY
J8132374,33
J8132376,-1
J8132377,1158
J8132378,59
J8132379,340
J8132380,376
J8132382,408
J8132383,369
J8132384,105
J8132385,871
J8132387,18569
J8132388,155
J8132389,
J8132390,89
J8132394,3833
J8132395,780
J8132396,53248
J8132397,1
J8132398,
J8132399,93
J8132402,12
J8132403,4102
J8132404,1714
J8132405,238
J8132407,586
J8132412,104
J8132413,409
J8132419,4640
J8132420,1020
J8132422,1408
J8132423,342
J8132425,153
J8132426,733
J8132427,1044
J8132428,928
J8132429,417
J8132430,4835
J8132576,4
J8132577,2
J8132597,106
J8132672,862
J8132674,171
J8132676,15
J8132700,
J8132779,1910
J8132781,129
J8132782,1148
J8132815,420
J8132907,-2
J8132911,131
J8132914,
J8133009,8
J8133036,1
J8133197,18
J8133252,
J8133253,1154
J8133255,50
J8133290,
J8133316,1
J8133317,35
J8133418,744928
J8133622,5
J8133652,5321
J8133682,77
J8133683,56
J8133708,36
J8133730,400
J8133794,728
J8133818,146
J8133845,77
J8133846,154
J8133847,262
J8133852,31
J8133885,137
J81338851,3
J8133886,110
J81338861,2
J8133909,-5
J8134013,284
J8134015,70
J8134016,593
J8134017,161
J8134018,2733
J8134021,523
J8134025,1808
J8134030,14
J8134031,
J8134032,198
J8134034,33
J8134035,42
J8134036,531
J8134037,8883
J8134038,
J8134040,2044
J8134048,488
J8134058,56
J8134064,792
J8134068,25
J8134069,227
J8134070,51
J8134071,24
J8134072,15640
J8134073,578
J8134082,1042
J8134086,25
J8134087,4970
J8134088,3403
J8134089,1711
J8134170,115
J8134186,142
J8134213,12
J8134219,1
J8134230,402
J8134232,819
J8134239,87
J8134246,2365
J8134247,83
J8134266,3
J8134270,-4
J8134290,98
J8134292,286
J8134293,8
J8134294,2
J8134295,148
J8134319,116
J8134320,40
J8134321,12
J8134343,78
J8134350,216
J8134385,2
J8134400,3176
J8134410,-1
J8134429,200
J8134441,15
J8134446,16349
J8134471,5
J8134473,32
J8134553,75
J8134568,183
J8134627,65
J8134644,15
J8134663,9
J8134667,1724
J8134675,3472
J8134680,1641
J8134773,2834
J8134782,1
J8134809,1
J8134810,1501
J8136600,733
J8136601,122
J8136602,-3
J8136603,8
J8136612,139
J8136613,2
J8136614,311
J8136616,30
J8136618,113
J8136619,572
J8136622,27
J8136623,280
J8136624,168
J8136626,5
J8136631,244
J8136632,31
J8136633,1
J8136640,446
J8136643,273
J8136650,18
J8136651,51
J8136653,422
J8136656,21
J8136659,4
J8136674,301
J8136675,1277
J84500,26
J8991386,119
J8992638,
J8992661,119
J8993023,37
J8993146,726
J8993317,1369
J8993415,32
J8997109,238
J9416223,4152
J9420350,88
J9438850,22
J9471777,902
K55138M,4
L0JH6024,51
L00H460W,308
L000PSX24W,553
L0000H13,882
L0000067,118
L0000089,129
L0000158,115
L0000168,126
L0000194,689
L0000921,87
L0001003,9
L0003057,66
L0003157,1086
L0003157AK,110
L0003757AK,894
L0009007QL,215
L0009055,17
L00194NA,217
L002825W5W,43
L003157KLC,68
L003757NAK,124
L01295NA,120
L03157NA,1579
MD100679,27
MD611757,23
MD972003,98
MD974424,8
MD997310,6
MFK12,25
PSL1100,
QJ98SJM,43
QJ99SJM,43
QK02SBK,76
QK03SBK,89
Q4040382,1
Q4040410,18
Q4040412,19
Q4050715,22
Q4060785,6
Q4060978,
RB10115,-8
RL596492AD,
RTS20035T,-1
RTS20037T,
RT10009,
RT10015,-1
RT10115T,
RT10215T,-6
RT10315,1
RT10335,3
RT10336,-1
RT10337,
RT10337T,17
RT10435T,-3
RT10535T,
RT10635T,1
RT20008,1
RT20016,-1
RT20017,
RT20028,4
RT20029,
RT20033,29
RT20039,
RT20040,
RT20041,
RT20043,4
RT20044,34
RT20045,27
RT20046,21
RT20047,20
RT21003,43
RT21009,
RT21016,376
RT21050,34
RT21052,
RT21053,20
RT22001,-4
RT22002,1
RT23001,6
RT23005,10
RT23009,8
RT23010,2
RT23011,
RT24006,541
RT24007,12
RT24008,1535
RT24009,5
RT25007,
RT26001,9
RT26003,-13
RT26004,31
RT26005,216
RT26006,762
RT26007,16
RT26018,13
RT26021,3
RT26022,315
RT26030,
RT26033,15
RT26037,5
RT26038,28
RT26039,642
RT26048,4
RT26060,9
RT26061,3
RT26065,1945
RT26070,5
RT26071,8
RT26077,2
RT26078,
RT26079,
RT26080,1
RT26088,2
RT26089,933
RT27003,26
RT27017,-22
RT27017T,1167
RT27045,27
RT27047,-76
RT27050,
RT27054,
RT27055,
RT27056,
RT27059,1700
RT27060,2169
RT27061,99
RT27062,-11
RT27064,884
RT27065,791
RT28002,-1
RT28003,1141
RT28004,110
RT28008,9
RT28011,565
RT28014,1
RT28025,11
RT28026,13
RT28032,
RT28035,1
RT28038,
RT28040,1
RT28041,1
RT28045,-1
RT28046,
RT28047,45
RT28048,46
RT28049,-73
RT28050,3
RT28053,1
RT28054,3
RT28056,27
RT28057,
RT28058,1
RT28059,
RT28061,
RT28062,53
RT28063,116
RT28064,75
RT28065,47
RT28066,
RT28067,50
RT28068,3
RT28069,6
RT28070,86
RT28071,3
RT28072,79
RT28073,
RT28074,
RT28086,8
RT28088,463
RT28090,465
RT28093,
RT28094,
RT28095,-1
RT28099,
RT28102,8
RT28106,11
RT28107,23
RT29001,-23
RT29002,
RT29006,
RT30010,247
RT30018,45
RT30019,128
RT31002,55
RT31005,
RT31014,
RT31017,7
RT31018,3
RT31024,3
RT31026,12
RT31029,286
RT31031,
RT31034,
RT31037,1
RT31038,5
RT31042,36
RT31043,-2
RT31049,330
RT32009,
RT32018,
RT32019,-17
RT33017,130
RT33018,84
RT33019,116
RT33020,101
RT34008,-11
RT34010,18
RT34015,241
RT34017,158
RT34019,274
RT34022,9
RT34023,2
RT34024,
RT34025,4
RT34027,12
RT34031,
RT34033,
RT34039,3
RT34044,25
RT34046,3
RT34053,734
RT34056,25
RT34058,6
RT34064,8
RT34066,4
RT34069,2
RT34076,320
RT34082,-3
RT34089,28
RT34093,48
RT34094,-24
RT34095,20
RT34096,136
RT34100,11
RT34101,-47
RT34104,493
RT35007G,3066
RT35009,1865
RT52002,133
RT54001,-55
S437,1194
SB10009,
SB10015,-2
SB10037,4
SB20035,6
SB20036,
SB30035,20
SB30036,
SB40001,-43
SB40002,-1
SCP20021,
SCP20030,1
SCP20121,4
SCP20130,5
SCP20230,4
SC10021,16
SC10030,9
SC30021,13
SC30121,4
SC30221,2
SPFR8TE2AA,204
SPFR8T1332,5
SPLZFR5C11,184
SPLZTR5A13,28
SPRE10MCC5,12
SPRE14MCC4,124
SPRE14PMC5,21
SPRN14PMP5,23
SP00RC9MC,
SP350050,3
SRKAX15,123
SRKAX151,192
SRKAX152,173
SRKAX153,239
SRKAX15L,41
SR4MASKIT,
SR450,37
SR450MK,2
SZFR5LP13G,50
S2RE14MCC5,127
TB000153,
TCL1,900
TC272901,45
TC272909,9
TC272915,1
TC272937,1
TC303201,11
TC303209,20
TC303215,
TC303237,13
TC333535,26
TC333537,14
TK1,8
TK10,16
TK11,13
TK12,23
TK13,19
TK14,21
TK15,15
TK16,9
TK17,9
TK18,27
TK19,39
TK2,23
TK20,21
TK21,25
TK22,30
TK23,7
TK24,16
TK25,5
TK26,5
TK27,8
TK28,12
TK29,10
TK3,24
TK30,3
TK31,8
TK32,10
TK33,17
TK34,20
TK35,19
TK36,25
TK37,13
TK38,7
TK39,14
TK4,13
TK40,22
TK41,13
TK42,14
TK43,18
TK44,15
TK45,17
TK46,16
TK47,9
TK48,13
TK5,7
TK50,16
TK6,15
TK7,18
TK8,26
TK9,12
TK51,7
TK52,11
TN10015,48
TN10037,4
TN10115,3
TN10135,8
TN10137,21
TN10215,24
TN27015,46
TRK1,26
TRK2,16
TRK3,32
TRK4,14
TXYZ9499F,9
T14AMK,
T15AMK,11
T150,50
T150BSG,25
T150GS,194
T150MASKIT,-19
T150MK,5
T17050MK,-1
T4MASKIT,21
T450,52
T450MK,8
T4T5GS,40
T5MASKIT,6
T550,16
T550MK,15
T84,18
T90BSG,101
T90MASKIT,59
T98,
WB000022AF,
WB000024AB,41
WB10015,38
WB10035,
WB10037,15
WB20035,
WSHA1,60
WSHB1,84
XYZ1993F,9
YJSU1,8
1AT17025B,4
1AT17080B,2
1BD22RXFADK,9
1BE94RXFAC,241
1BE95XXXAD,335
1EW63TZZAA,217
1FN67K,11
1NT48AXRAI,3
1NT49AXRAI,9
1VQ65TZZAA,5
1VQ66TZZAA,3
1WL30TZZAD,3
11502843,3772
11503716,1074
1157NA,589
116600,94
119138,6302
119597,
12VST,88
1351070002,490
13795,13431
15044,6104
154846AA,19
154870AA,23
154905AA,11
15556,199895
15908916,377
2129013,248
2276804,1991
231GS,34
231MASKIT,54
231SK,50
242SK,136
242EMASKIT,9
242LMASKIT,
2441025000,469
247SK,136
249SK,26
249EMASKIT,23
249LMASKIT,11
26019852,129
2604484,97
272712,1113
2881686,76
2881687,340
2889565,2941
2925062,979
2955374,107
30188,9
300GK,20
3171166K,34
3184867K,
3184909K,9
3192371,10
3240278MK,-1
3242300K,35
33000184,146
33000887,82
33001016AL,1862
33002299,-9
33002455,28
33002652,2
33002709,47
33002879AB,177
33002970,131
33003194,
33003860,11051
33004020,36
33004280,-7
33004534,43
34202358,2269
3461665,231
35AXCG,337
35021582,429
3507678,79
3507898AB,860
36364,2443
3640792,9
3671076,29
3723148,52
3723149,37
3861473,29
400526,42
4026487K010,
4060895,2
4060975,3
4060990,1
4070900,3
4088899,5
4103165,4416
4106180,412
4112654,14
4137726,894
4161678,939
4161679,940
4167995,5
4213583,319
4228492,802
4228564,4293
4228785,5693
4238864R,
4269649,224
4269671,97
4288298,115
4294946,
4300251,86
4300494,37
4306113,74
4313062,25
4313231,17
4313268,36
4313348,1
4313630,7
4318131,
43219,
4322628,698
43233,
4338934,
4339491,54
4340334,
4343490,4
4343824,18
4364781,257
4373296,6
4378595,790
4378768,318
4383096,116
4383397,3
4383838,1
4383850,5
4383968,
4383969,
4384662,35
4387534,6
4388238,52
4388249,80
4388589,421
4389437,342
4397776K010,
4400588,57
4401727,18
4411971,5
4412522AB,679
4419358,12
4423085,262
4423370,6
4423371,2
4423385,5
4423446,
4423447,3
4423662,
4423725,2
4423922,
4427757,13
4427764,5
4431081,11
4431156,8
4443426,1489
4443462,93
4443922,17
4443971,29
4446620AD,50
4448154,3
4448878,16
4449553,1292
4449567,6282
4449618,1017
4458366,
4460347R,100
4470365MK,4
4480649,50
4483757AB,1553
4486065,7
4486524,
4486860,54
4487816,2347
4504039,17
4505353,10
4509327,
4509354,3
4509355,1
4509553AB,4
4509718,4
4509767,7
4509774,6
4509775,6
4509994AA,4
4511175,9
4511448,
4531216AB,1675
4536492AB,1839
4546533,82
4546651,5
4546679,79
4546696,10
4554040,95
4556020AB,96
4556027,1042
4565319,315
4565320,85
4565321,3
4567025,6
4567259,8
4567260,11
4573002,911
4573013,12
4573031,159
4573347,27
4573561AB,37
4573624,42
4573944,27
4578034AE,3
4578046AC,631
4578061AG,436
4578063AG,1065
4578600AA,3
4578601AA,5
4581161,4936
4581586AB,14
4581907AC,992
4589131AF,98
4589176AC,473
4589265AC,-3
4589266AD,
4589267AD,4
4589268AC,-2
4589606AB,24
4589609AA,18
4591100AC,291
4591986AA,155
4592055,1
4593003AB,
4593777,4
4593848AA,638
4593880AA,934
4593892AA,14
4596466AG,764
4596501AB,27
4596835AB,
4602780AD,472
4606487AB,203
4606701AF,333
4606869AB,-8
4607084,76
4608303,520
4608650,21
4608801AB,114
4609079,291
4609088AH,4
4609089AH,330
4609140AB,76
4612159,39
4612242,822
4612367,166
4612427,418
4612453,10
4612461,5
4612669,1
4612716AB,4
4612727,42
4612746,269
4612894AB,781
4612894P,36
4616380,2384
4616383,3444
4616402,33
4616403,32
4616433,
4616570,150
4616736,229
4616935,
4617210,200
4617919,69
4621172,2
4621489,7
4621688,2
4621987AC,907
4626051,-3
4626696,5311
4627043AA,10
4627534AA,495
4636258,6
4636367,
4636369,11
4636382,119
4636856,4792
4636865,-23
4636982AD,122
4637001,1
4637155,40
4637500AB,
4637527,70
4638411C,66
4638624,9
4641053,
4641120,16
4641181,
4641516,17
4641517,
4641677,
4641944AA,197
4641944AC,10
4641947AA,403
4641981,
4644363,5
4644364,23
4644365,2
4644367,25
4648930AA,40
4648973AD,
4656010AE,792
4656012AC,1000
4656465AD,1890
4656612AH,3
4656730AH,14
4656731AH,26
4656934AB,458
4659237,17
4659238,17
4660001AB,2
4660007AA,10
4660700,7
4663228,184
4663296AB,
4663515,39
4663526,58
4663598,4
4663632,9
4663634AB,29
4663635,20
4663636,53
4663637,89
4663674AC,20
4663676,3
4663732AC,9
4663852AB,1110
4666102AA,23
4666129P,5
4667283,116
4667660,3
4667985,2567
4668127,165
4668180,243
4668180AB,9
4668182,386
4668302,4
4668330AD,
4668331AC,
4668442AA,8
4668498AC,24
4668665AB,10
4668739AD,190
4668740AD,10
4670026AB,259
4670283,
4670287,10
4670508AE,664
4670509AE,690
4671790AB,26
4673512,
4673513,2
4674627,
4675586AB,10
4675587AB,23
4675686,
4675687,86
4675806AC,12
4677303,18
4677577AC,927
4677692AA,2
4677695AA,
4677755AD,72
4677755AE,84
4682041,1
4682237,5
4682316,11
4682332,8
4682354AB,
4682362,
4682394,2
4682396,13
4682479,3
4682561AB,
4682586,
4682587,18
4682589,1
4682590,3
4682591,5
4682592,2
4682624,88
4682820,
4682923,198
4682976,3
4683259,
4683264,204
4683290,26
4683996AM,451
4683997AM,454
4684120,989
4684158,50
4684322AB,6
4684418,1794
4684442AB,3460
4684548,385
4684605,
4684744AB,4
4684756AC,408
4684890,4629
4686045,7
4686083,130
4686094,4
4686109,
4686353,224
4687214,55
4687558,-33
4692079AA,2759
4694307AB,16
4694760AC,55
4694761AC,101
4694870AD,420
4694934AA,1862
4695626,793
471551,6
4715515,2
4707839AA,12
4713023,122
4713193P,1
4713350,186
4713582,447
4713586,229
4717349,410
4717960AC,17
4717961AC,16
4720277AA,800
4720598,61
4720653,1
4720653010,
4720653020,2
4720822,191
4720864,1
4720973,7
4721010AA,2
4721023,6
4721234AA,12
4721303AA,1669
4721356AA,191
4721495AC,924
4721513,4
4721515,12
4721515AD,
4721547AC,890
4721677AA,
4721721AA,354
4721762AJ,216
4721820,24
4721820AF,6
4721918AA,724
4721933AB,-2
4721995AA,2
4721996AB,
4723036,13
4723345,13
4723918,327
4724743AE,8
4724754AF,
4726035AE,1
4728013,175
4728037,4
4728121,405
4728132,25
4728159,7
4728190,734
4728241,10
4728406,112
4728424,-1
4728546,8
4728547,22
4728646,130
4728777,22
4728859,49
4728870,
4728943,45
4728944,14
4734127,
4740109,1
4740259,6
4740275,21
4740683,5
4740767,2
4740833,
4741015,3
4741098,
4741772,18
4743015AC,1635
4743024AC,914
4743040AA,2683
4743041AD,11342
4743044AA,1088
4743094AA,19
4743095AA,2614
4743127,5
4743454AA,859
4743643,41
4743679AA,2125
4746074,
4746109AC,2
4746285,2
4746378KT,
4746656,1
4746835,104
4746879,248
4746936,33
4746979,41
4748046AB,1
4755028,
4761600,10
4761678,3
4761788,32
4761833,
4761940,2
4761941,142
476212829K,10
4762194,35
4762404,
4762416P,39
4762462010,2
4762494,5
4762495,12
4762496,71
4762537,13
4762551,24
4762639,9
4762669TI,
4762682TI,42
4762861,456
4764073,
4764210,10
4764500AC,189
4764501AC,190
4766116AB,823
4766312AD,444
4766542AA,-4
4766543AA,-3
4766866AA,1478
4766910AH,-5
4766911AG,-6
4772543,85
4773117,15
4773162,2
4773265TI,
4773841,144
4777042AB,4416
4777240AD,2972
4777394,6
4778058TI,51
4778672,
4778707,8
4778861PK20,5
4779020AB,4
4779101AA,2
4779111AC,4
4779196AE,2
4779197AD,1
4779199AA,132
4779208AB,3
4779209AC,7
4779218AB,144
4779244AD,232
4779328AB,189
4779438AB,10
4779450AD,898
4779451AD,899
4779612AD,413
4781157AB,38
4781528AA,995
4782254AB,162
4782338AA,2
4782363AD,419
4782518AG,444
4782523AF,443
4782561AE,513
4782643AD,741
4782644AD,665
4782665AE,834
4782666AE,841
4782681AB,310
4782683AB,1703
4782684AB,1522
4782712AE,8
4782892AB,3435
4782893AB,722
4782952AC,570
4792104,32
4792195AB,2
4792305,7
4792305AB,20
4792306,30
4792318AB,5035
4792353,381
4792443AA,28
4792443AB,24
4792581AA,703
4792752AE,1408
4792753AE,1392
4792778AA,200
4792779AA,256
4792811AB,951
4792838AB,183
4792874AA,756
4792968AD,389
4793313,-2
4796337,21
4796730,18
4796864,1165
4796865,670
4797131,
4797307AB,54
4797400TI,7
4797411TI,
4797620,4
4797621,8
4797659,311
4797685,91
4797699,49
4797706,2212
4797777R,253
4798113,382
4798166,44
4798329020,11
4798378AB,11
4798386,11
4798681AB,4
4798878010,
4798878030,3
4798885AA,
4798912,5
4799061AB,42
4800878,60
4800879,156
4801651AA,396
4805742AB,3898
4805757AG,11
4805774AC,3
4805850AD,1
4805851AD,2
4805856AA,11
4805857AA,29
4805858AA,-3
4805860AA,18
4805861AA,16
4806164AJ,2
4806165AJ,1
4806179AD,48
4806190AA,2174
4806218AD,1
4806219AD,6
4806271AA,122
4809117AC,194
4809118AD,
4809147AA,343
4809170AE,10
4809171AF,2
4814200AF,3
4854180,52
4854622AB,14
4856332,66
4856333,75
4856346,
4856357AS,2
4856368,30
4856370,
4856371,
4856372,4
4856564,
4856565,
4856672AC,157
4857040AB,1
4857041,6
4857306AB,277
4857307AB,265
4857345AA,629
4857389AB,126
4857700AB,2
4857701AB,2
4860068AD,430
4860069AD,498
4860082AF,614
4860083AE,615
4860379AA,895
4861269AC,385
4861271AD,485
4861273AA,144
4861277AD,865
4861295AB,563
4861314AB,
4861400,13
4861401,5
4861480AA,286
4861688AA,534
4861737AA,322
4861746AB,95
4862630AA,6
4862631AA,18
4862633AA,14
4863741,2647
4863795,8
4863826AA,3
4863835,5
4863882,232
4863907KT,
4864043,2481
4864304,6
4864505,127
4864843,
4864853,
4864906,
4864913,
4865941AC,19
4874174AB,6
4874372,3
4874393,
4874394,17
4874430AB,1
4874432AC,18
4874548TI,
4874866,21
4877016AB,275
4877017AB,288
4877262,5
4877433,4
4879432M,48
4880383AA,494
4880603AA,573
4882107,29
4882290,5
4882291,14
4882351,-1
4882530,
4882576,93
4882579,3
4882594,3274
4882817AB,58
4882837AB,6
4882841,
4882844,1
4882966,
4883087,508
4883233,14
4883451AAKT,1
4883717AA,84
4883833AA,15
4883963AB,50
4884159AA,1
4884385AE,72
4884483AC,95
4884690AA,29
4884691AA,22
4884695AB,41
4884899AB,78
4884900AB,165
4885441AA,42
4885482AC,4
4885845AA,21
4886185AA,
4886186AA,145
4886187AA,42
4886279AA,3
4891097AA,96
4891176AA,48
4891661AA,3
4891675AA,171
4891691AA,12
4891721AB,8
4891735AC,561
4891967AC,927
4892109AA,314
4892146AA,921
4892425AA,5
4892465AA,
4893445AA,963
4893804AB,960
4893805AB,957
4893806AB,3878
4893941AB,488
4894554AE,20
4895040AF,444
4895041AF,443
4895325AC,530
4895372AB,414
4895412AC,696
4895413AE,948
4895414AE,968
4895415AB,4918
4895422AA,1697
4895443AB,1735
4895452AA,696
4895482AB,663
4895483AB,97
4897033AB,2
4897220AAK1,10
4897220AAK2,6
4897221AAK1,13
4897221AAK2,5
4897244AA,55
4897414AG,298
4897424AA,2
4897451AA,2
4897462AC,18
4897692AA,31
4897772P,12
4897801AA,14
4897862AA,2
4897948AA,342
4897986AA,9
5AD88SP,-21
5AGFRKIT,176
5AGRRKIT,248
5AGK,27
5AGKM,2
5AG24JX9,336
5AG25JX9,260
5AG30JX9,252
5AG31JX9,315
5AHK,126
5AHK6,66
5AH14JX9,225
5AH15JX9,280
5AH16JX9,54
5AH17JX9,157
5DY00TZZAC,315
5DY01TZZAC,343
5ED18T3X,214
5EE84TZZAGK,-1
5EE85TZZACK,7
5EU81HS5AA,1
5EU81VF7AA,5
5FB63JS1K,357
5FB63RTBK,597
5FB63RXAK,142
5FW46ACQAC,8
5FW47DX8AB,8
5FW70DX8AD,3
5FW71DX8AD,44
5FW72DX9AD,23
5FW73DX9AD,67
5FW74DX8AC,11
5FW75TZZAC,15
5FW76DX9AC,55
5FW77DX9AC,28
5GD47DX8AB,20
5GJ63HS5AC,6
5HF07DX9AE,4918
5KC84TZZAE,118
5KC85TZZAE,164
5KC86TZZAG,480
5KC87TZZAG,470
5KFKFR,35
5KFKRR,64
5KF08RXFAG,1162
5KF09RXFAG,962
5KF16RXFAE,664
5KF17RXFAE,842
5KHK,63
5XL23TZZAA,5
5XV45TZZAA,4
5003004AB,1
5003085AA,4
5003163AA,232
5003336AB,1
5003567AA,441
5003594AA,2551
5003642AA,
5003843AAK,624
5003843AB,1
5006124AB,4493
5006950AA,493
5006950K,33
5010023AA,10
5010321AC,3
5010366AA,9
5011167AA,4
5011260AB,130
5011631TI,7
5011743TI,
5011836AA,211
5011974AA,133
5011975AB,137
5011976AB,446
5011977AB,832
5011987AA,114
5012324AA,7
5012329AAK1,13
5012329AAK2,12
5012362P020,4
5012363K010,9
5012363K5,1
5012364AAK010,
5012364AAK020,3
5012366AB,-8
5012382AA,5
5012432AAHD,8
5012436AB,2672
5012438AA,
5012442AD,4
5012451AA,
5012454AB,734
5012476AA,2
5012477AA,3
5012521AA,526
5012611AB,85
5012649AA,3
5012670AC,
5012671AC,2
5012691AB,5
5012807AC,
5012808AB,1
5012828AC,1
5012831AB,1
5012846AB,486
5012873AA,14
5012896AA,135
5012951AD,19
5013306AA,274
5013580AA,61
5013660AA,-4
5013881AA,7
5013882AA,
5013883AA,1
5013984AA,121
5014003AA,5
5014095AB,6
5014126AA,1
5014357AA,
5014402AA,1
5014425AB,45
5014581AA,5
5014730AF,281
5014740AA,1711
5014784AA,7
5014785AB,3
5014821AA,2
5014914AA,10
5015160AA,17
5015230AA,30
5015254AB,7
5015581AB,12
5015860AA,2
5016434C,32
5016547AB,239
5016708AD,4
5016709AD,6
5017010K,5
5017113AA,10
5017117AA,9
5017183AB,143
5017407AB,1
5017438AA,86
5017462K,5
5017832AA,1
5017833AA,1
5017842AA,63
5017843TI,13
5017973AA,6
5018063AA,26
5018064AA,59
5018206AA,2
5018207AA,2
5018208TI,15
5018209AA,12
5018437AA,6
5018442AA,
5018443AA,7
5018563AA,2
5018592AA,30
5018945TI,12
5019002AA,151
5019447K5,32
5019593AA,578
5019741AA,182
5019802AA,113
5019854AB,1
5019855AA,
5019868AA,
5019869AA,1
5019941AA,263
5019981AA,41
5019987,62
5020813AB,9079
5020846AA,1011
5030023AA,244
5033067AB,1
5033310ACK,2
5034555AA,264
5037475AB,61
5037476AB,83
5038788AD,-14
5045495AA,717
5045496AA,617
5047002AA,50
5047063AA,4331
5047138AB,4
5047453AA,4900
5047505AA,271
5047790AA,14
5047791AA,19
5047792AA,14
5047794AA,16
5048234AA,992
5048235AA,1912
5056203AD,2
5058456AE,12
5061585AA,4
5064771AC,403
5065502AC,23
5065503AC,7
5065659AA,12
5066050AA,1
5066051AA,1
5066057AB,154
5066245AA,68
5066246AA,58
5066309TI,23
5066334AA,123
5066373AA,17
5066375AC,2
5066427AA,36
5066427T,12
5066480AA,3
5066492AB,
5066530AA,2
5066533AA,457
5066549AB,1
5066699AA,42
5066700AA,127
5066733K25,31
5066733K5,26
5066786AA,1298
5066901AA,1915
5066974AA,12
5069421AA,574
5072145AA,8
5072176AA,268
5072216AA,17
5072390AA,3
5072391AA,6
5072437AB,198
5072458AA,
5072935AC,790
5072958AC,27
5072976AA,1
5072997AB,1
5073013AA,1
5073014AA,1
5073110AA,
5073178AA,8
5073246AA,2
5073247AA,
5073266AB,2
5074168AD,43
5078336AA,863
5078554AA,2
5078556AA,419
5078556K,40
5078930AA,10
5080047AB,3
5080215AA,9
5080246AA,303
5080319AA,893
5080422AA,65
5080556AE,4
5080563AC,14
5080564AA,41
5080565AA,33
5080568AB,-1
5083138AA,459
5083661AA,2
5083666AB,
5083667AB,36
5083673AB,1
5083697AA,4
5083790AA,174
5083791AA,172
5083895AC,3
5083896AC,4
5086282AA,274
5086581AA,64
5086617AA,1
5086674AB,13
5086774AA,2
5086982AA,7
5093111AA,932
5093183AD,72
5093184AA,79
5093236AA,338
5093254AB,433
5093267AA,3
5093276AA,434
5093376AB,9
5093448K5,
5093448K75,
5093450K,1
5093508AA,229
5096057AA,225
5096149AA,3
5096344AA,13
5096345AA,12
5096465AA,5
5096552AA,30
5097737AA,7
5097738AA,1
5098009AA,4
5101120AB,918
5101857AA,7
5101898AA,360
5101899AA,103
5103017AA,2
5103203AA,25
5103255AB,477
5103256AB,478
5103377AA,95
5104688AA,42
5104763AA,320
5105062AC,734
5105063AD,718
5105064AB,469
5105065AC,476
5105272AJ,194
5105513AA,51
5105572AA,501
5105573AA,531
5105649HS,6
5105688AJ,430
5106023AA,2
5106124AD,1
5109605AC,4
5110502AC,489
5114332AA,4
5114405AA,5
5114439AA,5
5115294AG,
5115663AC,6
5116079AA,4333
5116146AE,73
5116222AB,6
5116223AB,8
5116372AG,3
5127521AA,9
5127562AC,
5127704AA,960
5134358AA,8
5135014AA,12
5135255AA,
5136022AH,40
5137608AB,720
5137609AB,91
5137665AB,1427
5137670AB,179
5137671AB,117
5137691AA,4
5139095AA,894
5139148AA,23
5139153AA,30
5139733AA,7
5139900AA,21
5139901AA,18
5140028AA,780
5140655AA,
5140676AA,333
5140708AA,-19
5140710AA,15
5140861AA,27
5140863AA,24
5142222AA,1
5142556AA,8
5142557AB,5
5142559AA,9
5142564AB,1
5142565AB,4
5142566AA,10
5142579AA,391
5142938AC,931
5142939AC,933
5143099AA,6
5143208AA,6
5143209AC,6
5143311AF,14
5143312AF,15
5143313AF,20
5143350AC,167
5143544AC,9
5143555AA,532
5143556AA,336
5143570AA,15
5145583AD,468
5147213AD,1
5147214AD,8
5147215AD,2
5149170AA,25
5149171AA,131
5149180AA,83
5149182AB,149
5149199AA,479
5149264AB,26
5149265AB,1310
5149275AA,2
5154199AE,451
5154214AA,194
5154262AA,310
5155458AK,9
5155459AK,17
5155461AF,
5159661AA,4
5160017AA,9
5160364AD,2
5160365AD,3
5161084AB,18
5161335AF,91
5161435AA,258
5161924AA,2
5166017AB,2491
5168389AA,246
5168652AC,415
5168653AC,408
5170290AC,350
5170940AA,21
5170941AA,23
5174001AA,61
5174060AC,840
5174311AB,5
5174358AA,4
5174406AA,12
5174407AA,12
5175589AA,981
5175980K,6
5179011AA,-15
5179334AB,40
5179797AA,104
5180606AB,664
5180607AB,388
5181512AB,8
5181513AC,22
5182021AB,24
5182026AA,22
5182439AA,3
5182534AD,4
5182535AD,9
5183008AA,6
5183148AC,9
5183201AD,15
5183276AA,6
5183426AB,17
5183427AB,14
5183442AA,128
5183518AA,
5183952AF,16
5184093AE,71
5184105K,1
5184129K,4
5184150AF,13
5184273AD,11
5184294AE,115
5184347P,5
5184352AF,25
5184355AF,32
5184356AE,30
5184357AE,31
5184359AB,35
5184360AF,398
5184391AF,417
5184392AD,73
5184498AI,414
5184647AB,333
5184772AB,5875
5184778AB,4269
5184888AC,401
5184977AE,449
5189057AB,2
5189840AA,7
5191221AA,67
5191269AA,22
5191270AA,57
5191306AA,411
5191825AA,
52000051,1
52000185,39
52000707,22
52001132,4632
52001174K,111
52002085R,
52002334AB,1057
52002585,410
52002609,788
52002633PL,27
52002633PLMK,
52003182,168
52003625,6
52003687,12
52003751,3
52003769,4
52003774,147
52003789,16
52004152,450
52005638K,197
52005642,212
52005653,2560
52006241,2
52006473,219
52006495,9116
52006511,62
52006870,-36
52007394,274
52007401,107
52007562,128
52008184,104
52008301,78
52008662,176
52008663,188
52008674,133
52008779,8
52009208AD,10
52009406AE,10
52010144AA,4
52013468AC,1459
52014529AB,25
