Number,Width,Length,Height,Price,Description,Weight
55009998,3.50,4.00,1.25,7.92,"Hood Safety Catch",0.30
4746074,8.25,8.25,5.50,433.33,"Ring & Pinion Kit",12.10
4593858AB,7.00,7.75,4.50,190,"Throttle Body",2.00
4761940,7.00,7.00,7.00,148.33,"Brake Master Cylinder",2.00
5184888AC,2.25,15.00,2.75,61.67,"Timing Chain Tensioner",0.44
5093111AA,4.25,7.50,2.00,49.17,"Sway Bar Link",0.90
52098341,5.50,42.00,5.50,900,"Drive Shaft",16.60
A15045,8.25,8.50,1.25,113.33,"Output Shaft Sliding Gear",3.80
J0931263,2.25,2.25,1.75,10.83,"Bump Stop",0.30
242SK,10.50,12.50,7.00,25,"Transfer Case Seal Kit",6.30
68280910AD,6.00,8.00,2.00,38.33,"Sway Bar Link",1.80
RT26005,3.00,4.00,1.50,9.17,"Hood Catch Kit",0.30
68325051AC,13.50,18.25,8.50,65,"Bumper Bracket",6.40
J0640426,4.25,4.25,0.12,0.92,"Bearing Retainer Gasket",0.10
52058500,4.00,4.00,6.00,46.67,"Engine Mount",2.90
5003085AA,7.25,9.50,5.25,86.67,"Water Pump",2.60
J0643055,4.75,8.00,3.25,42.47,"Parking Brake Shoe Set",1.60
52006241,12.00,12.25,3.25,70,"Brake Rotor",15.00
5016434C,13.50,14.00,3.25,80,"Brake Rotor",15.60
J3230765,1.25,2.75,1.00,14.17,"Distributor Rotor",0.10
4682316,5.00,11.00,3.00,20.83,"Radiator Hose",0.60
68225062AA,11.00,28.00,6.50,38.34,"Windshield Washer Reservoir",1.80
J3241602,6.00,8.25,5.25,208.33,"Oil Pump Kit",4.80
33003860,1.50,5.00,1.50,8,"Exhaust Valve",0.20
H0061726,11.00,31.00,4.00,25,"Radiator Hose",2.10
5012870AB,5.00,7.00,5.00,125,"Differential Plenum",0.60
5097738AA,3.25,3.25,1.25,35,"Wheel Bearing Set",0.30
1BE95XXXAD,13.75,52.50,3.50,56.67,"Air Dam",3.00
52002633PL,19.50,35.00,12.50,383.33,"Fuel Tank",21.40
52079401,7.14,19.00,6.00,16.3,"Radiator Hose",1.20
4856332,7.00,31.00,7.00,216.67,"Axle Shaft",19.90
52038665,3.00,7.00,2.00,40.83,"Sway Bar Link",0.90
55254919,18.00,47.00,5.00,41.67,"Fender Flare",2.30
RT27047,13.50,30.50,8.50,89.25,"Locking Center Console",16.00
J0912703,0.75,3.50,0.75,6.67,"Shock Absorber Mounting Stud",0.30
4877017AB,6.00,8.00,4.50,20,"Parking Brake Cable",4.56
4882107,3.75,9.00,3.00,26.67,"Brake Pad Set",3.80
H0069006,10.00,24.00,2.00,16.67,"Radiator Hose",1.30
52003625,6.75,10.25,2.50,60,"Power Steering Pressure Hose",0.90
55255640,39.00,58.00,2.00,312,Hood,39.00
J0909889,0.50,2.38,0.50,1.38,"Brake Shoe Return Spring",0.10
52067638,3.25,3.25,1.50,40,"Speedometer Gear",0.10
1EW63TZZAA,1.25,3.25,1.25,73.33,"Park Assist Sensor",0.06
52037916,1.50,1.50,1.00,2.17,"Sway Bar Link Bushing",0.10
53000886,4.25,4.25,1.75,50,"Oxygen Sensor",0.30
J3217479,0.50,1.00,0.50,1,"Clutch Fork Pivot",0.10
J8120221,2.50,8.00,2.50,98.33,"Sector Shaft",0.10
J3172330,1.00,4.75,1.00,1.5,"Cylinder Head Bolt",0.30
4882530,7.50,43.50,6.50,268.67,"Catalytic Converter",8.00
J3193968,2.75,2.75,0.12,3.33,"Input Bearing Retainer Washer",0.10
4470365MK,4.00,4.00,1.75,44.17,"Steering Box Master Seal Kit",0.31
5066057AB,4.00,18.00,4.00,100,"Axle Shaft",6.10
56000031,7.00,7.00,5.00,108.33,"Wiper Switch",0.30
52089275C,14.00,14.50,4.75,78.83,"Brake Rotor",18.00
4798166,4.50,4.75,3.25,24.17,"Fuel Filter",1.30
5101898AA,11.00,10.00,13.00,113.33,"Tail Light",3.50
RT31057,16.00,16.00,11.00,448.33,"Big Brake Kit",47.60
4778058TI,4.00,9.50,3.25,31.67,"Brake Pad Set",3.60
5252137,7.75,8.00,4.50,160,"Clutch Slave Cylinder",1.50
J3218977,1.00,1.00,1.00,0.55,"Valve Seal",0.10
5184391AF,3.00,3.00,2.00,63.33,"Timing Chain Tensioner",0.25
4806219AD,5.25,8.00,2.75,31.67,"Side Marker Light",0.40
J0998504,4.75,11.50,3.00,158.33,"Worm Shaft",3.00
J5357931,1.00,1.00,18.00,18.33,"Accelerator Cable",0.10
4423662,4.00,5.50,3.25,30,"Brake Pad Set",4.40
4663636,1.50,11.00,1.00,20.83,"Timing Chain Guide",0.30
53000014,3.75,13.00,1.75,15.83,"Radiator Hose",0.80
642469,3.12,3.50,0.75,2.33,"Exhaust Clamp",0.40
J0644418,3.75,7.75,0.50,6.67,U-Bolt,0.60
J3180216,10.00,10.00,0.25,2.75,"Timing Cover Gasket",0.10
4684120,3.00,3.00,2.00,8.33,"Control Arm Bushing",0.60
52099260,5.50,41.75,5.50,650,"Drive Shaft",19.00
J5364760,4.00,6.00,4.00,53.33,"Fuel Filler Neck",0.60
5072391AA,5.00,6.75,4.25,23.33,"CV Joint Boot Kit",1.10
52079476AB,3.00,3.00,2.00,18.33,Thermostat,0.30
53031135,1.50,2.00,0.75,3.08,"PCV Valve",0.10
A1000,2.50,2.50,0.19,5.83,"Thrust Washer",0.13
5012611AB,2.00,27.00,1.00,10,"Wiper Blade",0.30
4792195AB,5.50,6.25,4.50,75,"Water Pump",2.60
55156878AE,10.25,41.28,4.75,80,"Fascia Bracket",2.00
J5355062,2.00,9.50,0.75,11.67,"Clutch Rod",0.50
4805861AA,2.75,5.00,2.50,18.33,"Side Marker Light",0.20
52098672KE,14.25,14.50,5.00,170,"Disc Brake Service Kit",39.00
J8134073,1.25,1.25,0.25,1.25,"Cluster Gear Snap Ring",0.10
J3229443,2.50,4.00,2.50,3.03,"Fuel Filter",0.30
52069880AA,7.75,7.75,5.75,216.67,"Hub Assembly",11.50
TK14,10.00,14.00,5.50,61.67,"Tune Up Kit",3.80
55154924,11.25,28.00,2.50,131.67,"Window Regulator",6.10
52098666C,13.50,14.00,3.25,70,"Brake Rotor",13.50
4882966,12.25,14.25,6.75,191.67,"Evaporator Core",6.70
J0905693,2.50,7.75,3.00,46.67,"Steering Arm",2.10
52006473,2.00,2.00,1.50,25,"Brake Hose",0.50
J0978995,12.00,12.00,8.00,40,"Windshield Weatherstrip",3.30
4509553AB,11.00,11.00,2.25,66.67,"Brake Rotor",9.10
4449618,1.75,2.00,1.75,3.25,"Sway Bar Bushing",0.20
4882291,37.00,49.50,9.00,133.33,Fender,7.80
4782643AD,6.00,29.00,4.75,90,"Shock Absorber",9.70
5184977AE,4.00,5.00,3.63,25,"Thermostat & Housing",0.50
55075654,2.00,8.75,4.00,21.67,"Door Handle",0.30
55000630,3.00,24.50,3.00,26.67,"Liftgate Support",1.10
53032130AA,4.75,8.75,3.25,55,"Drive Belt Tensioner",1.70
4792305AB,5.00,5.00,1.25,35,"Camshaft Sprocket",1.30
4782644AD,6.00,29.00,4.75,90,"Shock Absorber",9.40
68033045AA,0.88,1.00,0.88,5,Retainer,0.06
J5359735,3.00,3.00,1.00,7.5,"Clutch Adjuster",0.30
52088125,2.00,2.25,1.75,5.83,"Sway Bar Bushing",0.10
4782712AE,8.50,28.00,8.50,133.33,"Shock Absorber",8.50
5093508AA,3.00,3.00,1.25,40,"Camshaft Position Sensor",0.10
52006495,1.75,1.75,1.50,3,"Sway Bar Bushing",0.10
53022306AA,8.13,20.13,0.06,36.67,"Cylinder Head Gasket",0.60
5170940AA,17.00,24.50,3.00,115,"Window Regulator",5.80
5045496AA,5.00,17.25,1.00,15,"Exhaust Manifold Gasket",0.69
5101899AA,11.00,13.50,10.50,113.33,"Tail Light",3.40
5013881AA,3.00,3.00,0.75,48.33,"Differential Carrier Shim Set",0.60
52038851,2.25,2.50,2.25,9.17,"Sway Bar Bushing",0.30
52019138,8.00,16.00,52.00,200,"Muffler & Tailpipe",21.00
52003687,8.00,24.00,3.00,41.67,"Power Steering Pressure Hose",0.80
5252059,4.25,4.50,1.50,40,"Shift Fork",0.40
2604484,4.00,12.00,3.00,112.67,"Input Shaft",3.90
J8130273,0.25,1.25,0.25,1.25,"Shift Fork Insert",0.10
J5360058,1.75,1.50,1.25,12.5,"Fuel Tank Vent Valve",0.06
53013743AB,2.00,2.00,0.50,2.67,"Valve Cover Grommet",0.10
52088257,5.25,5.25,1.50,10,"Coil Spring Isolator",0.80
4864913,8.50,8.50,5.50,533.33,"Ring & Pinion Kit",11.50
L0000H13,3.00,3.00,2.00,15.83,"Headlight Bulb",0.13
J3224597,1.50,5.00,1.50,9.17,"Exhaust Valve",0.30
J5359272,2.00,12.00,14.50,26.67,"Air Intake Duct",0.90
J5362159,5.00,12.25,2.75,10.83,"Fuel Vent Hose",0.30
4612427,6.25,7.00,5.25,46.67,"Engine Mount",3.90
5073110AA,10.50,11.50,9.50,783.33,"Differential Case Kit",17.00
4612159,3.25,3.25,1.50,58.93,"Idle Air Control Valve",0.30
4895483AB,4.00,10.50,4.00,20,"Sway Bar Link",1.40
J0349368,0.50,3.50,0.50,2,"Cylinder Head Stud",0.10
4799061AB,2.75,3.25,2.25,28.33,"Transmission Input Speed Sensor",0.20
15908916,10.00,12.50,2.50,14.67,"Air Filter",1.50
6504135,1.00,1.00,0.75,1.33,Retainer,0.02
68080335AA,3.25,3.25,1.25,76.67,"Countershaft Bearing",0.75
RT34044,18.00,42.00,3.50,141.67,"Grille Overlay",6.30
J0946969,2.00,2.00,0.25,3,"Steering Bellcrank Shaft Washer",0.10
5184352AF,3.50,3.75,1.75,41.67,"Timing Chain",1.00
4728870,6.25,10.00,3.00,46.8,"Brake Shoe Set",3.90
4797307AB,3.50,3.50,1.25,38.33,"Universal Joint",1.60
5269703,3.00,2.00,3.00,65,"Crankshaft Position Sensor",0.20
68057474AA,8.00,8.25,8.00,100,"Brake Master Cylinder",2.40
SC10021,14.00,14.50,5.00,59.99,"Seat Cover Set",3.50
J9438850,1.25,1.25,1.00,3.33,Bulb,0.10
68051638AA,2.50,20.00,2.00,31.67,"Toe Link",2.25
53020444,3.25,1.50,3.25,26.67,"Timing Chain",0.90
4612894P,4.00,4.25,1.75,35,"Drive Belt Tensioner Pulley",0.70
4797400TI,4.00,9.50,3.50,40,"Brake Pad Set",4.00
53020564,4.50,12.00,3.25,60,"Oil Pickup Tube",1.00
4682592,6.50,12.50,4.50,50,"Receiver Drier",1.60
4884691AA,2.25,7.00,2.00,26.67,"Intake Valve",0.19
4660001AB,6.00,8.00,4.00,133.33,"Clutch Master Cylinder",0.80
4641053,5.50,29.50,5.25,233.33,"Axle Shaft Assembly",17.90
4797411TI,7.25,9.50,5.50,40,"Brake Pad Set",2.60
J3237812,3.25,8.00,1.00,51.67,"Connecting Rod",1.50
83501161,4.00,19.00,2.00,38.33,"Shock Absorber",4.00
4616383,2.25,2.25,1.25,6.67,"Strut Rod Bushing",0.20
J0807376,7.00,8.00,3.00,56.67,"Brake Shoe Set",4.60
J3250575,2.00,7.00,2.00,14.73,"Ignition Switch",0.40
J5352701,1.00,19.50,1.00,15,"Brake Hose",0.30
J5761110,6.25,6.25,4.13,141.67,"Speedometer Assembly",1.40
J8130972,0.25,1.00,0.25,20,"Main Shaft Bearing Kit",0.10
C825MASKIT,5.00,8.00,6.00,200,"Differential Overhaul Kit",5.60
4638624,7.00,14.50,6.25,164.67,"Fuel Module",2.50
55036772,9.75,10.50,9.75,208,"Tie Rod & Drag Link Assembly",12.60
J5453949,19.00,19.00,2.00,25,"Windshield Weatherstrip",3.70
J8130869,2.50,2.50,1.25,11.67,"Output Shaft Bearing",0.30
J8129240,7.00,8.50,5.00,720,"Differential Gear Set",8.40
55075652,4.25,8.25,4.25,24.17,"Door Handle",0.50
52028185,2.00,3.00,3.00,6.67,Thermostat,0.10
55254918,25.00,45.00,5.00,41.67,"Fender Flare",7.00
J0946613,3.00,5.00,3.00,61.67,"Headlight Switch",0.10
JA000797,1.50,1.50,0.25,1.08,"Differential Spider Gear Thrust Washer",0.02
4668740AD,9.00,3.00,8.00,115,"Clutch Master Cylinder",0.50
J0958731,5.00,12.00,5.00,13,"Windshield Weatherstrip",0.90
J5360950,11.00,14.00,3.00,15,"Radiator Hose",0.70
4796730,7.25,7.25,1.50,13.33,"Transmission Filter",0.50
J3192407,3.75,4.00,0.50,23.33,"Shift Fork",0.30
J0994509,4.00,11.00,9.00,383.33,"Steering Box",15.30
J0054153,3.25,3.25,1.25,40,"Axle Shaft Bearing",0.90
4668498AC,6.00,6.50,3.00,108.33,"Clutch Master Cylinder",0.60
J5758964,21.00,48.00,19.00,191.67,Fender,23.20
4656465AD,2.50,8.50,2.50,40,"Track Bar Link",1.90
J3192427,1.25,1.25,0.12,1,"Reverse Idler Washer",0.10
4762639,3.00,3.00,2.00,18.33,"Brake Caliper Piston",0.40
5174406AA,11.50,15.00,7.00,115,"Tail Light",3.70
5170941AA,14.50,24.50,3.00,115,"Window Regulator",5.70
272712,0.75,0.75,0.50,0.92,Nut,0.10
56007299,7.00,7.00,5.00,91.67,"Wiper Switch",0.40
4798885AA,3.75,9.25,3.25,38.33,"Brake Pad Set",3.80
5072216AA,4.75,8.00,3.00,43.33,"Brake Pad Set",5.10
83500501,1.75,1.75,0.25,3.33,"Input Seal",0.10
JA000957,5.50,6.50,0.12,2.17,"Output Housing Gasket",0.10
RT31043,18.50,24.00,8.50,676.66,"Disc Brake Conversion Kit",55.40
83500176,2.75,24.00,2.75,48.33,"Shock Absorber",3.50
4861271AD,5.00,8.00,4.25,53.33,"Engine Mount",4.30
J8126513,10.50,11.25,9.00,300,"Differential Case Assembly",12.10
J3240172,5.00,8.25,3.75,75,"Fuel Pump",1.10
55079421AF,10.00,14.75,7.25,150,"Tail Light",2.60
4677303,6.00,8.00,4.25,48.33,"Receiver Drier",1.70
J3229982,7.00,9.00,5.50,113.33,"Brake Caliper",12.00
68003970AA,3.00,15.00,2.25,56.67,"Receiver Drier",0.81
4670026AB,2.50,2.50,1.25,60,"Clutch Release Bearing",0.40
J3208474,2.75,2.75,0.50,5.83,"Pinion Seal Kit",0.30
J3200192,4.00,6.00,4.00,12.5,"Distributor Cap",0.50
33004280,3.00,4.00,3.00,35,"Air Temperature Sensor",0.10
J0933747,3.25,3.25,1.50,10.83,"Clutch Slave Cylinder Repair Kit",0.20
56001861,3.25,3.50,1.50,23.33,"Headlight Switch",0.20
J3234433,3.50,3.50,1.25,31.67,"Timing Chain",1.10
56007255,4.00,4.00,4.00,70,"Turn Signal Switch",0.40
SCP20021,20.00,21.00,3.50,59.99,"Seat Cover Set",4.50
5045495AA,5.00,17.25,1.00,15,"Exhaust Manifold Gasket",0.69
5080246AA,3.25,3.25,1.25,26.67,"Drive Belt Tensioner Pulley",0.30
J5361280,7.00,7.00,0.50,15,"Parking Brake Cable",0.20
J0941400,1.50,1.50,0.50,0.58,"Transfer Case Insulator",0.10
4668180AB,3.00,8.25,0.75,15,"Accessory Drive Belt",0.10
52067595,3.00,3.00,0.50,6.67,"Pinion Seal",0.10
J0809295,1.50,1.50,0.12,1.25,"Intermediate Shaft Bearing Spacer",0.10
5080556AE,4.00,9.50,3.25,46.67,"Brake Pad Set",5.00
5019447K5,2.75,4.75,1.25,70,"Connecting Rod Bearing Set",0.60
SC30221,12.50,12.50,5.00,59.99,"Seat Cover Set",3.30
J8128445,5.00,4.50,2.00,36.67,"Distributor Pickup",0.50
5015254AB,4.25,10.00,3.25,46.67,"Brake Pad Set",5.90
J0943149,1.75,2.25,1.00,2.33,"Drum Brake Adjuster Lever",0.10
52098790,6.00,36.00,6.00,650,"Drive Shaft",19.00
5080568AB,6.50,9.25,3.50,53.33,"Parking Brake Shoe Set",4.50
68401155AA,13.00,13.50,2.75,233.33,"Differential Gear Set",5.60
5FW47DX8AB,3.75,11.75,3.75,38.33,"Door Handle",0.75
55054587,6.00,8.00,4.25,26.67,"Side Marker Light",0.60
83506255,2.75,3.00,0.12,3.17,"Synchronizer Spring",0.10
68079412AB,8.00,14.50,5.00,125,"Water Pump",5.06
55078163AA,2.00,40.00,1.00,45,"Door Glass Weatherstrip",0.90
68050126AB,22.00,29.50,6.75,216.67,Radiator,10.00
5252070,0.75,11.00,0.75,38.33,"Shift Shaft",0.80
JA000970,2.25,2.25,0.12,1.3,"Shift Lever Spring",0.02
J5350589,2.00,41.00,2.00,36.4,"Steering Adjuster",3.20
83502867,4.00,19.00,2.00,46.67,"Shock Absorber",3.40
J3124570,1.50,3.50,3.50,8.33,"Output Bearing Cup",0.20
4864043,4.00,7.00,1.00,10.83,"Timing Chain Damper",0.10
A998,0.75,5.25,0.75,11.67,"Intermediate Shaft",1.40
J8126682,3.50,3.50,1.75,46.67,"Timing Chain",0.90
5142556AA,7.25,9.25,5.00,120,"Brake Caliper",5.70
52089065AA,3.00,2.50,3.00,15.83,"Control Arm Bushing",0.90
55394229AG,11.00,23.00,3.00,108.33,"Window Regulator",4.20
55154925,11.25,28.00,2.50,131.67,"Window Regulator",6.10
68004019AD,2.50,8.00,2.50,23.33,"Wheel Speed Sensor",0.25
55154786,2.00,14.00,1.50,18.33,"Wiper Arm",0.50
53004245,4.00,4.25,1.75,91.67,"Oxygen Sensor",0.30
1BE94RXFAC,5.25,84.00,1.25,43.33,"Bumper Cover",1.56
J3180458,1.00,1.00,1.00,1.17,"Valve Spring Lock",0.10
5066246AA,1.00,3.75,0.75,2.67,"Anti-Rattle Clip",0.10
4567025,2.75,2.75,1.00,25,Bearing,0.30
52111596AA,5.50,41.50,5.25,416.67,"Drive Shaft",18.50
5160364AD,11.50,15.50,6.75,140,"Tail Light",2.50
55155143AG,14.25,14.50,5.50,113.33,"Tail Light",3.30
5KC87TZZAG,20.00,46.00,7.00,66.67,"Fender Flare",9.60
4857307AB,13.50,16.25,6.00,75,"Tail Light",2.70
56007348,1.25,1.75,1.25,25,Flasher,0.10
J0801816,1.50,1.50,0.25,2.17,"Sector Shaft Seal",0.06
53001092,3.50,3.50,3.50,43.33,"Clutch Release Bearing",1.10
33004020,3.25,3.25,1.25,21.67,"Crankshaft Sprocket",0.60
4883718AB,4.50,4.75,2.50,130,"Third Gear",2.40
J3222706,1.00,29.00,1.00,18.33,"Parking Brake Cable",0.50
55076223,6.00,6.50,3.00,25.83,"Door Handle",1.30
A924,2.25,2.25,1.50,20,"Intermediate Shaft Bearing",0.30
52125367AA,4.25,6.00,4.25,30,"Tie Rod End",2.06
J8134627,4.00,6.00,4.00,48.33,"Door Lock Actuator",1.19
J0647745,6.75,9.00,1.00,56.67,"Carburetor Repair Kit",0.20
5174060AC,3.50,7.50,2.00,41.67,"Sway Bar Link",1.00
56028183,3.00,3.00,2.00,31.67,"Vehicle Speed Sensor",0.30
J3234235,3.25,3.25,1.25,30,"Crankshaft Sprocket",0.60
68376742AA,8.00,8.50,3.50,91.67,"Brake Caliper",6.80
J0648061,2.25,1.25,0.25,10,"Differential Carrier Shim Kit",0.10
J5350541,2.50,22.00,1.00,20,"Brake Release Cable",0.20
83503066,0.75,1.75,0.75,1.58,"Wheel Stud",0.10
56042341AF,5.00,5.00,5.00,108.33,Clockspring,0.60
5174358AA,19.00,31.00,5.50,200,"Cooling Fan Module",15.40
4779612AD,7.38,5.63,7.25,80,Hub,6.60
J8121399,3.00,3.00,0.50,3.33,"Spindle Seal",0.10
J3242203,11.75,14.50,0.75,20.83,"Parking Brake Cable",0.60
J5752285,10.00,11.00,3.00,18.33,"Speedometer Cable",0.60
5183201AD,9.00,12.25,6.00,180,"Fuel Module",2.60
5015860AA,6.00,6.00,6.00,106.67,"Blower Motor",3.80
52058937AB,7.00,5.50,5.00,60,"Engine Mount",6.10
55055150,5.00,39.00,17.00,58.33,Grille,3.00
J5459189,1.25,1.50,1.00,8.33,"Control Knob",0.10
33000184,1.50,6.50,1.25,13.33,"Fuel Filter",0.10
J0647801,1.25,1.25,2.00,11.67,"Brake Light Switch",0.10
5273883AD,6.00,6.50,3.00,75,"Engine Mount",2.80
56002011,4.00,4.25,1.50,43.33,"Turn Signal Switch",0.40
56009449AC,4.50,12.00,3.25,125,"Window Switch",0.60
J3233904,11.50,16.25,1.00,20,"Parking Brake Cable",1.10
J3192365,1.50,1.50,0.25,4.17,"Cluster Gear Thrust Washer",0.10
J8123320,2.50,4.50,2.00,25,"Steering Adjuster",1.30
55015782,15.00,16.00,4.00,36.67,"Door Weatherstrip",2.70
53001101,3.25,3.25,1.00,35,"Vacuum Switch",0.20
52003789,6.50,13.00,2.75,20,"Radiator Hose",0.60
4668739AD,7.50,8.00,4.75,158.33,"Clutch Slave Cylinder",1.80
4857701AB,13.25,18.25,8.00,150,Headlight,5.30
68068261AA,0.75,20.50,0.75,30,"Liftgate Glass Support",0.44
53010196,14.00,14.75,4.75,200,"Exhaust Manifold",9.30
5278631AA,4.00,4.00,4.00,65,"Fuel Pressure Regulator",0.60
8126614SP,3.50,1.25,3.50,24.17,"Universal Joint",1.20
56002007,3.75,8.00,3.75,91.67,"Blower Motor",2.80
56009135,5.50,9.00,4.00,58.33,"Multifunction Switch",0.40
55345787,16.25,35.00,3.00,226.67,Tailgate,17.20
J3235929,3.00,3.00,0.50,2.5,"Axle Shaft Seal",0.10
52110141AB,2.25,5.00,2.25,6.67,"Sway Bar Bushing Bracket",0.60
52087863,1.50,9.00,1.50,19.17,"Sway Bar Link",0.38
J3243102,5.50,13.50,4.25,115,"Oil Pump Kit",4.90
5072176AA,8.75,12.00,1.00,23.33,"Cabin Air Filter",0.40
J3201928,1.50,4.25,1.00,1.57,"Brake Shoe Return Spring",0.10
J3211538,0.50,1.50,0.50,3.17,"PCV Valve",0.10
J5356918,3.00,3.00,3.00,56.67,"Clutch Release Bearing",1.40
5003163AA,4.50,12.00,4.00,30,"Brake Pad Set",4.50
5142579AA,4.00,9.00,1.25,91.67,"Timing Belt",0.60
J5357889,6.00,12.00,3.50,24.17,"Air Intake Duct",0.50
4779244AD,4.50,4.50,2.00,20.83,"Wheel Speed Sensor",0.19
4761600,11.00,14.00,6.00,98.33,"Brake Shoe Set",13.60
53030842,3.00,3.25,1.50,78.33,"Fuel Injector",0.10
5AGKM,26.00,46.00,5.00,181.67,"Fender Flare Master Kit",12.40
J5358677,9.00,14.00,1.00,16.67,"Accelerator Cable",0.20
J8122350,4.00,4.00,4.00,13.33,"Distributor Vacuum Advance",0.40
52098501,5.50,36.50,5.50,658.33,"Drive Shaft",22.00
J8132407,0.50,1.00,0.50,4.5,"Shift Lever Pin",0.10
J5358980,3.00,3.00,0.25,5,"Output Seal",0.20
J5359012,6.50,7.00,1.50,17.68,"Leaf Spring Plate",3.30
4684322AB,9.50,23.00,5.00,46.67,"Power Steering Pressure Hose",1.10
J3251236,5.00,27.00,1.50,23.33,"Power Steering Pressure Hose",0.80
J4006547,0.50,1.75,0.50,1.58,"Exhaust Manifold Stud",0.10
68287923AC,27.00,56.00,15.50,37.5,"Fender Liner",2.80
52027922,8.00,8.75,3.50,113.33,"Fan Clutch",3.60
52090206AG,11.00,5.00,12.00,115,"Control Arm",5.60
33001016AL,1.25,2.00,1.00,5.83,"Oil Filler Cap",0.10
68293034AA,3.50,14.00,2.00,38.33,"Sway Bar Link",1.40
55038003AG,26.25,36.00,4.00,241.67,"A/C Condenser & Transmission Cooler",11.20
52079712AC,4.00,12.00,3.00,16.67,"Radiator Hose",0.80
J5362956,3.50,57.00,2.50,183.33,"Leaf Spring Assembly",53.00
52000707,9.00,53.00,3.50,115,"Leaf Spring Assembly",31.00
52058501,4.00,5.00,6.00,43.33,"Engine Mount",3.20
4877433,12.75,13.00,3.25,76.67,"Brake Drum",19.20
5080563AC,4.00,9.75,3.00,40,"Brake Pad Set",3.50
J8133683,3.00,3.75,1.75,14.17,"Crankshaft Thrust Bearing Set",0.50
55155139AI,12.00,13.00,5.00,90,"Tail Light",3.50
55010655,13.00,13.00,12.00,13.33,"Windshield Molding",0.60
55024249,8.00,9.00,3.50,25,Mirror,0.90
J5751929,2.50,8.00,2.50,41.67,"Window Handle",1.20
55369596AC,37.75,47.75,13.25,120,Fender,9.00
68299399AA,4.00,9.75,3.25,53.33,"Brake Pad Set",2.80
5105513AA,11.25,11.25,2.00,63.33,"Brake Rotor",13.30
J0800293,4.00,4.00,4.00,6.5,"Thermostat Housing",0.30
J3236434,0.50,0.50,0.12,1.33,"Brake Hose Washer",0.10
A8838,1.25,41.00,1.25,208.33,"Worm Shaft",4.60
J3201958,0.75,1.25,0.75,0.75,"Parking Brake Lever Spring",0.10
4556020AB,3.00,5.00,0.25,2.5,"Expansion Plug",0.02
5DY01TZZAC,12.00,24.00,10.00,66.67,"Bumper End Cap",2.50
56028200,3.25,3.25,1.50,60,"Oxygen Sensor",0.30
83500210K4,5.00,10.00,2.00,56.67,"Piston Ring Set",0.60
J0131016,1.25,1.25,0.12,0.33,"Steering Bellcrank Shaft Washer",0.10
J0646729,4.00,4.00,4.00,36.67,Shackle,1.80
J0974016,14.00,20.50,1.50,150,"Tailgate Window Regulator",7.20
J3242855,4.50,0.50,30.00,9.83,"Manifold Gasket Set",0.40
5356581,5.75,5.75,2.50,4.58,"Muffler Hanger",0.50
RT28071,3.00,5.00,2.25,96.67,"LED Bulb Kit",0.13
56027917,3.50,3.50,1.75,58.33,"Oxygen Sensor",0.30
J3243152,10.00,30.00,12.50,183.33,"Engine Oil Pan",12.20
55156614AE,11.00,13.50,10.50,113.33,"Tail Light",3.50
83502930,0.75,1.00,0.75,1.65,"Shift Lever Isolator",0.10
J5351274,2.00,8.25,0.75,15,"Clutch Rod",0.40
52088284AE,2.50,4.00,2.50,9.17,"Sway Bar Bushing",10.00
J8128482,2.00,2.00,0.25,3.17,Bulb,0.10
4668331AC,6.25,6.75,3.25,115,"Clutch Slave Cylinder",0.60
A500,2.50,4.00,2.50,11.27,"Leaf Spring Bracket",1.30
4670508AE,4.00,22.00,3.25,53.33,"Tension Strut",5.00
J3166547,1.50,1.75,0.50,10,"Radiator Draincock",0.10
5142557AB,7.25,9.25,5.00,120,"Brake Caliper",5.70
B0015402,3.00,18.00,0.50,7.08,"Accessory Drive Belt",0.20
5142222AA,4.00,2.00,4.00,63.33,"Universal Joint",2.00
68020626AA,6.75,11.25,4.50,48.33,"Parking Brake Shoe Set",2.30
4796337,4.25,9.25,3.25,36.67,"Parking Brake Shoe Set",2.20
J3223346,3.50,3.50,1.50,13.33,"Wheel Bearing Cup",0.20
J0052980,4.00,4.00,1.00,28.33,"Differential Carrier Bearing Cup",0.60
G0004958,0.75,12.00,0.75,40,"Decklid Support",0.30
J8130875,2.75,2.75,2.50,31.67,"Input Shaft Bearing",0.10
4891097AA,6.50,8.00,6.50,14.57,"Air Filter",0.80
56027873,1.00,2.50,1.00,20,"Coolant Temperature Sensor",0.10
5086774AA,4.00,1.00,4.00,81.67,"Wheel Bearing",1.10
J3172319,1.00,1.00,1.00,1.5,"Expansion Plug",0.10
J4002337,0.50,1.00,0.50,0.5,"Fender Flare Screw",0.10
52108424AA,2.25,2.25,0.25,5.83,"Oil Pump Seal",0.06
J8124930,1.75,1.75,0.25,0.95,"Snap Ring",0.10
33002709,6.00,12.00,5.00,148.33,Starter,8.90
53020490,7.00,19.00,0.50,21.67,"Cylinder Head Gasket",0.40
56002292,2.75,16.00,1.00,7.92,"Wiper Blade",0.30
4238864R,12.00,12.00,5.50,80,"Brake Rotor",29.00
56042023,3.25,3.25,1.50,15.83,"Brake Light Switch",0.10
J5352787,1.25,3.00,0.50,10.83,"Sway Bar Link Pin",0.30
4886279AA,4.25,9.75,3.25,43.33,"Brake Pad Set",4.80
4675806AC,2.00,28.00,2.00,45,"Liftgate Support",1.90
