Number,Width,Length,Height,Price,Description,Weight
53021077,0.75,2.25,0.75,20,Lifter,0.13
4728249,3.50,3.75,1.50,18.33,"Steering Box Rack Seal Kit",0.10
4796956,4.00,4.50,4.00,147.33,"Input Gear",3.60
56000639,3.50,8.00,1.50,8,"Side Marker Light",0.30
52002989,12.50,42.00,12.50,76.67,"Front Pipe",9.00
55020432,28.00,63.00,5.00,158.33,"Windshield Frame",29.00
5135797AA,11.00,21.00,1.50,208.33,"Engine Gasket Set",1.94
5011972AA,7.00,6.00,9.00,131.67,"Brake Caliper",10.20
52088461,12.00,4.50,3.50,30,"Tie Rod End",2.80
52088283,1.50,9.50,1.50,19.83,"Sway Bar Link",0.90
4796965,3.50,5.50,3.50,164.67,"Input Gear",3.80
4694765,2.00,3.50,2.00,10.33,"Power Steering Reservoir Cap",0.10
52003079,3.50,22.00,1.00,33.33,"Power Steering Pressure Hose",0.60
55176636AD,2.50,4.00,2.50,13.17,"Hood Catch",0.30
5252056,1.50,4.00,1.50,51.67,"Shift Fork",0.40
56026710,0.50,2.00,0.50,13,"Coolant Temperature Switch",0.10
3141319K,4.00,4.50,0.12,3.17,"Wheel Bearing Shim Set",0.06
5252082,5.00,5.00,2.00,108.33,"Sliding Gear",1.80
53002154,2.75,3.75,0.25,0.67,"Throttle Body Gasket",0.10
83501166,4.75,15.25,4.75,366.67,"Main Shaft",7.90
53008134K,7.25,31.00,7.25,171.67,"Axle Shaft Assembly",17.00
52003226,4.00,6.00,4.00,81.67,"Heater Control Valve",0.60
53020991,7.50,0.50,18.00,25,"Valve Cover Gasket",0.60
5455853K,3.25,3.25,1.50,5.42,"Side Marker Socket",0.10
5155463AG,11.50,15.00,7.00,81.67,Mirror,3.90
56041509AA,5.50,5.75,2.50,56.67,"Wheel Speed Sensor",0.30
52088018,5.25,5.25,5.25,233.33,"Power Steering Pump",4.70
53010419,4.75,4.75,4.76,2.08,"Water Pump Gasket",0.10
4637533,3.25,3.25,0.50,17.5,"Synchronizer Blocking Ring",0.20
36001132,9.00,15.00,4.00,30,"Windshield Washer Pump",2.00
4638190,3.25,24.00,2.25,42.5,"Shock Absorber",4.40
52005131,4.00,4.00,4.00,13.33,"Fuel Filter",0.40
5252042,2.50,7.50,2.50,158.33,"Gearshift Lever",1.30
5179593AA,1.75,1.75,0.25,2.92,"Camshaft Plug",0.02
D44JK488R,11.25,16.50,7.00,316.67,"Ring & Pinion",16.50
52006626,15.00,36.00,10.00,138.33,"Front Pipe",7.00
J5350570,3.25,22.50,1.50,45,"Drag Link Tie Rod End",3.00
RT26026,3.50,7.00,2.00,38.33,"Hood Lock",0.10
4713076,4.25,12.00,3.25,150,"Brake Master Cylinder",4.20
52004010,4.00,6.25,0.50,8.67,U-Bolt,0.60
5083882TI,6.50,11.25,2.75,41.67,"Brake Pad Set",2.90
5252599,4.50,4.50,2.00,30,"Shift Fork Kit",0.40
56029405,2.75,3.00,2.50,65,"Map Sensor",0.10
83501426,3.00,3.00,2.00,8.17,Thermostat,0.20
53000471,4.50,11.50,2.50,11.67,"Radiator Hose",0.60
801179,1.00,1.00,0.50,5,"Temperature Sensor Adapter",0.10
52124821AC,4.00,17.00,2.00,40,"Camber Link",1.88
68052368AA,3.50,8.00,1.50,9.17,"Brake Pad Spring Kit",0.63
53002905,3.75,1.50,3.75,12.83,"Drive Belt Idler Pulley",0.60
52124840AB,1.50,10.00,1.50,41.67,"Toe Link",1.90
8128585PL,17.00,24.00,13.50,291.67,"Fuel Tank",12.00
68004194AC,12.25,12.50,4.75,200,"Evaporator Core",4.00
4741652,0.50,0.50,0.13,0.75,"A/C Line O-Ring",0.02
4762195,7.00,31.00,7.00,175,"Axle Shaft",19.00
68052292K,12.00,12.75,1.50,26.66,"Cabin Air Filter & Door Kit",0.60
RT27044,5.00,6.00,2.50,9,"Drink Holder Set",0.19
83503662,3.25,3.25,2.25,35,"Starter Drive",0.70
56027865AB,3.50,3.25,1.50,58.33,"Crankshaft Position Sensor",0.20
53000575,3.75,3.75,0.25,2.08,"Fuel Sending Unit O-Ring",0.10
83502961,20.00,31.00,16.00,150,"Fuel Tank",17.20
4720046,5.50,5.75,2.50,98.33,"Blower Motor Resistor",0.60
55055143,4.25,3.50,12.00,15,"Parking Light",0.60
4720498,7.75,13.50,5.00,81.67,"Tail Light",2.20
RT21024,1.25,9.50,1.50,28.33,"Sway Bar Link",0.90
4746305,1.00,1.00,0.50,23.33,"Lock Cylinder",0.10
55076016AE,3.00,2.00,7.00,25,"Liftgate Handle",0.40
52000848,2.50,2.50,4.00,19.17,"Wheel Cylinder",1.30
6104257AA,3.25,3.25,1.50,6.67,Bolt,0.25
4621939AB,4.25,4.25,0.25,9.67,"Crankshaft Seal",0.10
52002625,5.25,3.75,3.00,15,"Transmission Mount",1.10
52087716,3.50,3.50,20.00,43.33,"Control Arm",5.30
52124820AC,4.00,17.00,2.00,40,"Camber Link",1.81
5252058,5.00,5.00,2.00,40,"Shift Fork",0.40
5033310AC,3.00,3.00,2.00,23.33,"Map Sensor",0.06
53004522,1.00,1.50,1.00,50,"Back Up Light Switch",0.10
53001248,2.00,6.00,1.50,9.17,"Fuel Filter",0.10
83503752,2.25,0.50,2.25,5.83,"Oil Pump Seal",0.10
57010721AC,2.50,7.00,1.25,20,Reflector,0.13
52058551,3.75,6.00,6.25,28.33,"Transmission Mount",2.30
52079407,4.00,14.00,3.00,14.83,"Radiator Hose",0.80
52087711,20.00,3.75,3.75,30,"Control Arm",2.10
5116244AF,17.00,57.00,17.00,45,"Fender Liner",1.60
52037644,9.50,12.00,8.50,38.33,"Power Steering Pressure Hose",14.00
83502375,4.50,1.75,4.50,98.33,"Idle Air Control Valve",0.80
55175896AE,15.00,53.00,13.50,40,"Fender Liner",1.40
83500568,2.25,2.75,0.13,1.17,"Synchronizer Spring",0.10
83506022,4.00,4.00,1.75,200,"Fifth Counter Gear",2.30
53022090AB,0.50,0.50,0.38,5.67,"Valve Seal",0.02
68046026AA,5.00,5.00,5.00,73.33,"Water Pump",2.00
53004538,12.00,13.00,1.50,81.67,"Clutch Disc",2.30
55136229AC,18.00,62.25,7.75,38.33,"Fender Liner",1.50
5011988HK,3.00,7.00,1.50,31.67,"Parking Brake Hardware Kit",0.50
4637915,5.75,12.50,1.25,31.67,"Power Steering Pressure Hose",0.80
53000605,2.00,2.50,1.00,10.83,"Shift Knob",0.30
52003790,7.00,14.00,6.00,14.17,"Radiator Hose",0.90
33007143,7.25,29.00,0.12,23.33,"Cylinder Head Gasket",0.60
52018177,12.50,33.50,10.50,108.33,"Front Pipe",5.40
55176564AC,1.25,30.50,0.75,31.67,"Door Glass Weatherstrip",0.30
5003453AA,4.50,15.00,2.25,158.33,"Transfer Case Chain",4.30
RT34043,7.25,33.75,3.25,65,"Frame Cover",3.70
A633,1.25,1.25,0.75,12.13,"Steering Wheel Nut",0.20
83506053,0.75,10.50,0.75,41.67,"Shift Shaft",0.70
52002092,9.00,11.00,9.00,35,"Battery Tray",0.90
52088500,5.50,5.75,5.25,283.33,"Power Steering Pump",4.70
4798329AB,4.00,4.00,4.00,73.33,"Piston & Pin",1.38
RT33003,4.50,4.75,1.50,22.5,D-Ring,1.31
55000299,2.50,1.00,22.00,12.5,"Wiper Blade",0.30
5012322AB,4.00,15.00,2.25,146.67,"Transfer Case Chain",3.40
52852913AB,7.50,7.50,2.25,21.67,"Transmission Filter",0.60
RT24003,2.75,2.75,0.50,2.75,"Output Seal",0.10
4060952,3.50,16.50,1.00,65,"Accessory Drive Belt",0.60
4137734,0.50,1.25,0.50,0.58,"Disconnect Housing Bolt",0.10
55075432,6.75,11.25,6.00,111.8,Mirror,2.60
5182554AD,16.00,56.00,12.50,50,"Fender Liner",1.40
53010085,5.25,5.25,1.25,26.67,"Power Steering Pump Pulley",1.30
4798117,3.00,3.00,0.75,9.83,"Output Seal",0.10
4856142,4.50,3.50,3.00,60,Yoke,2.30
55029558,1.00,1.00,26.25,30.83,"Liftgate Support",0.80
4713021,12.00,20.25,3.25,38.33,"Engine Oil Pan Gasket",0.20
5252502,0.50,1.75,0.25,4,"Differential Shaft Bolt",0.10
52111597AA,4.50,39.50,4.50,400,"Drive Shaft",18.40
56027275,1.00,3.75,1.00,4.17,"Spark Plug",0.10
52040305,5.00,6.00,4.75,23.33,"Shock Absorber Bracket",1.40
4720933,1.50,2.50,0.50,4.17,"Key Blank",0.10
52104112,13.00,20.50,4.50,191.67,"Clutch Hydraulic Assembly",3.10
52089328AC,5.50,5.50,1.50,10,"Coil Spring Isolator",0.40
52002541,5.50,5.50,4.00,21.67,"Tie Rod End",1.30
52058929,9.50,6.00,6.00,56.67,"Engine Mount",6.70
4773426,7.50,7.50,4.25,110,"Fan Clutch",4.10
52000232,3.50,6.50,0.50,2.92,U-Bolt,0.70
52080090,2.25,22.00,2.00,38.33,"Radiator Hose",1.20
5252060,2.00,5.50,1.00,33.33,"Reverse Shift Arm",0.40
J8128191,11.00,22.00,3.00,141.67,"Engine Gasket Set",4.00
4728156,4.00,4.00,4.00,108.33,"Drive Sprocket",1.00
83500380,3.50,3.75,1.75,78,"Third Gear",1.70
55024254,1.50,1.00,24.00,17.5,"Door Glass Weatherstrip",0.30
922076,3.00,8.50,3.00,23.83,"Clutch Bellcrank",1.00
53004369,4.00,41.00,4.00,466.67,"Drive Shaft",12.00
53003006,13.50,14.00,3.25,93.33,"Pressure Plate",11.10
55010064,11.00,9.50,2.50,38.13,"Liftgate Weatherstrip",1.30
56000098,4.25,12.50,4.25,16.67,"Parking Light",0.80
52005752,3.50,17.00,1.00,11.67,"Heater Hose",0.30
52040278,27.50,40.00,11.25,81.67,"Front Pipe",5.70
52002540,4.50,50.00,4.00,86.67,"Tie Rod",12.00
5272909AB,14.25,14.25,6.25,233.33,"Tail Light",4.00
4773765,6.00,8.00,4.50,73.33,"Receiver Drier",2.40
52003130,6.00,8.00,4.25,26.67,"Power Steering Reservoir",0.60
52040110,2.00,8.00,1.00,21.67,"Pitman Arm",2.40
5174319AA,0.50,1.25,0.50,2.5,"Bleeder Screw",0.10
53000957,1.25,1.25,0.50,1.33,"Valve Cover Grommet",0.10
52006421,4.00,6.00,1.00,7.5,"Leaf Spring Plate",1.90
68140033AA,5.00,2.00,5.00,5.83,"Liftglass Hinge Cover",0.20
52028378,26.50,29.00,8.50,280,Radiator,15.40
4746316,1.50,2.50,0.25,5,"Key Blank",0.10
55035565,6.25,6.25,6.25,75,"Blower Motor",2.80
55074990,10.00,19.00,1.75,95,"Window Regulator",2.60
55135891AF,1.50,30.25,0.75,35,"Door Glass Weatherstrip",0.70
RT34092,4.00,4.50,0.50,20,"Door Hinge Bracket Set",0.60
33004522,3.00,6.25,3.00,36.67,"Ignition Coil",1.30
52088432,5.00,34.00,3.00,81.67,"Track Bar",9.60
52079565,10.00,20.00,7.50,43.33,"Radiator Hose",1.30
83502924,2.25,6.50,2.25,100,"Control Valve",1.70
53006625,3.50,20.50,0.12,7.5,"Intake Manifold Gasket",0.20
55176184,2.25,10.25,1.75,49.17,"Tailgate Hinge",2.60
55176224,2.25,3.00,2.00,12.5,"Door Channel",0.40
6509135AA,0.50,1.25,0.50,0.8,Retainer,0.02
4713193,7.50,33.00,7.50,165,"Axle Shaft",19.10
55399256AE,17.00,18.00,3.50,35,"Door Weatherstrip",3.40
33001907,8.25,8.25,8.25,266.67,"Power Steering Pump",9.60
55054930,10.75,11.00,4.00,15.83,"Headlight Bezel",0.40
5252594,1.25,17.25,1.25,113.33,"Axle Shaft",5.30
55235408,1.00,18.00,0.50,12.5,"Door Glass Weatherstrip",0.30
5149141AF,3.00,3.00,2.00,41.67,"Camshaft Position Sensor",0.19
RT26076,7.00,7.50,3.50,40.5,"Spare Tire Spacer",7.80
52003791,3.00,4.50,3.00,20,"Radiator Hose",1.50
83500964,2.00,2.00,0.50,7.33,"Thrust Washer",0.10
52058996,5.50,7.25,4.50,58.33,"Transmission Mount",6.80
5154230AD,5.00,5.00,2.00,30,"Wheel Speed Sensor",0.19
52002723MK,6.50,11.00,5.50,183.33,"Body Mount Master Kit",9.00
5281090,4.00,4.00,4.00,6,"Oil Filter",0.20
52067639,2.00,3.00,3.00,40,"Speedometer Gear",1.80
52040430,1.00,31.00,0.25,28.33,"Accelerator Cable",0.10
52067634,3.25,3.25,1.50,40,"Speedometer Gear",0.10
55235409,1.00,18.00,0.50,12.5,"Door Glass Weatherstrip",0.30
68027611AB,3.50,5.75,3.25,80,"Drive Belt Tensioner",1.80
4897159AB,3.50,4.25,7.00,113.33,"Drive Belt Tensioner",3.20
5033307AC,2.25,2.50,2.00,22.5,"Crankshaft Position Sensor",0.06
55076467AG,11.25,23.50,3.00,103.33,"Window Regulator",4.40
52038014,6.00,31.00,1.00,35,"Power Steering Pressure Hose",1.20
8124564,2.50,4.00,2.50,38.33,"Wheel Cylinder",1.30
4797003,4.25,12.50,3.50,46.67,"Receiver Drier",2.20
52087768,1.75,1.75,0.75,1.5,"Shock Absorber Bushing",0.10
56041889AA,3.25,3.25,1.25,4.33,"Ignition Capacitor",0.10
4792317AB,1.50,1.50,0.12,5.67,"Crankshaft Seal",0.10
6502871,0.63,1.63,0.63,1.58,Retainer,0.02
52088512,3.50,4.50,12.00,36.67,"Tie Rod End",2.60
83502978,11.00,25.00,5.00,100,Muffler,8.60
35025104,2.00,4.50,2.00,5.83,"Window Handle",0.10
53007386,10.00,1.75,11.50,15.6,"Air Filter",0.80
5011983AA,3.00,3.00,2.00,13,"Brake Caliper Piston",0.30
52079050,2.00,19.00,1.75,140,"Steering Shaft",3.10
53020445,7.25,1.25,7.25,25,"Camshaft Sprocket",2.10
56001278,7.00,4.00,8.50,23.33,"Headlight Seat",0.50
52028226,6.00,17.00,9.00,20.83,"Radiator Hose",1.30
4897383AB,3.50,20.50,1.00,33.33,"Intake Manifold Gasket Set",0.50
52087878,4.00,35.00,2.25,80,"Track Bar",8.50
5182597AC,4.50,12.00,3.25,10.83,"Bumper Bracket",0.40
52018856,3.00,9.00,3.00,43.33,"Transmission Mount",3.00
52088104,5.00,17.00,5.00,60,"Coil Spring",8.90
53010424,0.75,0.75,0.50,1.33,"Valve Cover Mounting Grommet",0.10
83500285,4.50,4.75,2.00,123.33,"Third Gear",1.80
5093355AA,0.75,1.25,0.75,2.67,"Brake Caliper Bolt",0.10
83503318,4.25,3.50,4.50,40,Yoke,1.10
55024255,26.00,2.00,2.25,17.5,"Door Glass Weatherstrip",0.30
55345059,44.00,61.50,13.50,303.33,Hood,45.00
83500643,3.25,3.25,1.25,66.67,"Input Shaft Bearing",1.10
52088175,4.00,33.50,2.50,78.33,"Track Bar",6.40
53020280,12.00,16.00,7.00,75,"Water Pump",6.90
56002688,3.00,3.00,3.00,30,"Thermostat Switch",0.20
5105087AN,9.00,24.00,2.00,66.67,"Power Steering Pressure Hose",1.40
5252034,11.00,14.00,11.00,600,"Transmission Case",17.50
52087887,2.00,32.00,2.00,86.67,"Drag Link",7.30
53003903,7.50,10.00,7.00,291.67,"Power Steering Pump",12.00
83500569,4.75,7.00,4.75,1.17,"Synchronizer Spring",0.10
5066054AA,0.75,1.00,0.75,6.33,"Differential Drain Plug",0.10
57010720AC,2.50,7.00,1.25,20,Reflector,0.13
53006090,5.00,5.00,2.00,133.33,"Range Sleeve",1.30
56000213,32.00,13.00,2.00,56.67,"A/C Hose",1.20
83500971,3.50,3.50,1.75,98.33,"Fifth Gear",0.60
83506052,0.75,11.00,0.75,41.67,"Shift Shaft",0.80
56000409,2.50,7.25,2.00,14.17,"License Plate Light",0.10
68029829AB,1.25,3.25,1.25,13.33,"Key Blank",0.06
56026921,3.25,1.50,3.50,63.33,"Crankshaft Position Sensor",0.20
83500642,4.00,4.00,2.25,66.67,"Synchronizer Sleeve",0.60
83502646,11.25,25.00,4.75,98.33,Muffler,12.30
5252043,3.00,4.50,1.00,2,"Shift Retainer Gasket",0.10
52001094,1.25,2.75,4.25,20,"Sway Bar Link",0.50
52003361,1.25,1.25,0.25,1.5,"Sway Bar Link Retainer",0.10
5252235,6.00,6.00,5.00,202,"Hub Assembly",10.40
55076310AB,0.75,26.00,0.75,30,"Liftgate Support",0.90
6101489,0.50,0.75,0.12,0.75,"Mini Fuse",0.10
52028266,5.00,19.00,2.50,15.83,"Radiator Hose",0.90
4636368,5.50,6.00,2.50,216.67,"First Gear",4.80
83506250,0.25,0.75,0.25,1.75,"Synchronizer Key",0.10
55395578AB,6.50,11.00,0.25,26.67,"Windshield Bracket",2.00
68267931AA,7.50,8.00,4.50,92,"Brake Caliper",8.60
83503712,7.00,7.00,3.00,135.2,"Neutral Safety Switch",0.80
5010811AA,4.00,4.50,0.25,8,"Axle Shaft Retainer",0.30
52059901AD,7.50,17.00,2.25,40,"Power Steering Pressure Hose",0.75
4638128,1.25,3.25,1.50,40,"Crankshaft Position Sensor",0.19
4762102,5.00,6.25,3.50,98.33,"Brake Caliper",4.50
5101786AA,11.50,11.50,11.50,200,"Evaporator Core",5.90
J0945451,0.75,2.00,0.75,0.92,"Wheel Stud",0.10
53020992,8.00,0.25,18.50,25,"Valve Cover Gasket",0.60
68004073AA,0.75,0.75,14.00,1.5,"Pinion Oil Slinger",0.10
52040289,6.00,13.00,2.00,11.67,"Radiator Hose",0.80
68003994AA,13.50,14.00,3.25,266.67,"Evaporator Core",2.80
68224731AC,4.50,12.00,3.25,30.83,"Sway Bar Link",1.00
33007127,3.18,3.18,1.25,106.67,"Fuel Injector",0.30
53004265,8.00,8.00,8.00,199.33,Alternator,9.60
68022107AC,5.50,36.50,4.75,491.67,"Drive Shaft",17.40
4637862,9.25,11.00,9.25,191.67,"Brake Booster",7.70
4778347,3.00,3.00,2.00,31.67,"Windshield Washer Pump",0.30
5252614,3.00,3.00,3.00,18.33,"Brake Caliper Rebuild Kit",0.70
83503655,2.50,4.00,2.50,28.33,"Starter Solenoid",1.50
35002115,0.50,1.00,0.12,1,"Molding Clip",0.10
4864473,3.75,11.00,1.75,41.67,"Distributor Pickup",0.10
53020833AB,13.00,10.00,30.00,125,"Engine Oil Pan",12.40
5252531,4.00,9.00,3.00,26.67,"Brake Pad Set",3.30
52059900AF,14.50,14.50,2.00,45,"Power Steering Pressure Hose",1.50
83504097,2.00,7.00,2.00,36.67,"Clutch Master Cylinder Repair Kit",0.30
52088452AD,5.00,13.00,5.00,55,"Power Steering Pressure Hose",1.10
52124768AB,4.00,4.00,4.00,81.67,"Wheel Bearing",3.20
83500201,2.75,3.50,0.25,6.67,"Axle Shaft Slinger",0.10
55013514,21.00,48.00,19.00,200,Fender,19.30
52000070,3.00,6.00,1.00,67.6,"Clutch Slave Cylinder",1.80
55154947AC,8.00,13.75,5.50,81.67,Mirror,2.40
68004086AA,12.50,13.00,5.00,158.33,"Steering Knuckle",15.50
4778595,13.00,13.00,3.00,160,"Differential Gear Kit",5.40
83506257,4.50,4.50,1.75,70,"Synchronizer Sleeve",0.70
55394098AE,1.25,14.25,1.00,25,"Radiator Support Brace",0.38
53022143AB,2.25,2.25,0.25,10,"Intake Manifold Seal",0.02
55055146,2.50,8.25,2.50,9.58,"Side Marker Light",0.20
56001424,1.50,6.75,1.25,5,"Side Marker Light",0.10
52059983AD,4.00,34.00,2.00,106.67,"Track Bar",9.40
56021346,4.00,6.00,4.00,65.83,"Ignition Switch",0.80
56028189,1.00,3.75,0.75,4.17,"Spark Plug",0.10
52059982AD,5.00,34.50,1.75,106.67,"Track Bar",9.80
68027792AA,3.00,4.00,19.75,81.67,"Shock Absorber",5.90
83506030,3.25,3.25,1.25,50,"Main Shaft Bearing",1.10
4883022,9.25,12.50,4.25,126.67,Mirror,2.30
4864566,4.00,12.00,4.00,80,"Water Pump",3.30
52018823,1.50,1.50,0.25,4,"Vapor Valve Seal",0.10
52088511,4.25,12.00,3.25,22.5,"Tie Rod End",2.70
83500187,8.00,8.00,5.00,760,"Ring & Pinion Kit",12.40
83501167,4.00,9.75,3.25,25,"Brake Pad Set",4.20
5252079,4.00,4.00,2.25,123.33,"Third Gear",2.00
52001174,1.50,2.00,4.00,20,"Nut Strip",0.90
53001184,12.75,12.75,1.00,90,Flexplate,5.00
D44JK513R,11.25,16.50,7.00,330,"Ring & Pinion",16.50
MFK10,10.00,14.00,5.50,80.83,"Master Filter Kit",2.40
52028069,14.50,23.00,2.00,40,"Radiator Hose",1.30
83500505,5.00,7.00,0.13,1.42,"Input Bearing Retainer Gasket",0.10
4593684AA,3.00,1.00,14.00,45,"Accessory Drive Belt",0.50
52001180,4.00,4.00,9.00,13.33,"Transmission Mount",2.60
55019988,7.00,31.00,2.00,23.33,"Windshield Weatherstrip",1.50
52060048AD,4.50,34.50,4.00,68.33,"Drag Link",10.10
53004838,10.00,12.00,3.00,31.67,"Vacuum Harness",0.30
53020788,4.75,4.75,4.75,10,"Crankshaft Seal",0.10
52114079AA,3.25,3.25,0.25,1.33,"Axle Housing O-Ring",0.10
52060053AE,3.00,11.75,1.75,41.67,"Tie Rod End",2.80
55176340AG,18.50,39.00,4.50,226.67,Tailgate,18.70
6508914AA,0.75,1.81,0.75,2.17,"Brake Hose Bolt",0.06
4793576AB,2.25,3.25,2.50,29.17,"Ignition Switch",0.20
MFK13,10.00,14.00,5.50,21.67,"Master Filter Kit",2.60
5183516AA,0.75,3.50,0.75,40,"Differential Carrier Shim Kit",0.40
52060137AB,12.00,12.25,2.50,61.67,"Brake Rotor",16.60
53020873AC,7.00,8.50,12.00,78.33,"Water Pump",5.70
83504635,3.00,3.00,1.00,21.67,"Distributor Gear",0.10
5252084,3.00,3.00,2.00,91.67,"Reverse Idler Gear",1.60
8126964,3.25,3.25,1.25,5,"Wheel Cylinder Rebuild Kit",0.10
52060147AA,12.75,12.75,3.00,56.67,"Brake Rotor",16.30
52002544,2.25,2.25,4.50,20.8,"Steering Adjuster",1.20
53030730,6.75,9.50,2.00,9.5,"Air Filter",0.50
5135798AB,20.00,22.50,3.50,75,"Engine Gasket Set",4.00
55155678AD,5.00,15.00,2.00,18.33,"Fender Flare Retainer",0.30
53006724,1.50,5.00,1.50,10.83,"Exhaust Valve",0.20
5DY09DX8,11.00,7.00,21.00,38.33,"Bumper End Cap",1.50
4318137,3.75,1.00,6.00,5,"Spark Plug",0.90
83503112,5.00,7.50,1.00,76.67,"Input Bearing Retainer",0.70
33002672,14.00,14.00,1.00,115,Flywheel,26.50
55009828,12.00,12.00,3.00,30,"Door Weatherstrip",0.60
53021756AB,12.50,30.00,10.00,150,"Engine Oil Pan",8.80
83506047,1.00,10.25,0.75,61.67,"Shift Shaft",0.70
52003360K,2.50,2.50,8.25,20,"Sway Bar Link",0.80
RT27001,5.50,1.25,5.50,27.5,"Dash Control Knob Set",0.40
4777086,2.00,2.00,0.25,5.83,"Camshaft Seal",0.10
52028141,9.50,20.00,5.00,20,"Radiator Hose",1.50
53054315,3.00,6.00,1.75,65,"Tie Rod End",1.30
52004706,1.00,8.25,1.00,23.33,"Parking Brake Cable",1.40
52005350,11.00,11.00,3.75,60,"Brake Drum",15.10
52005099,6.75,12.50,6.50,266.67,"Fuel Module",3.00
52006380,9.50,9.75,2.25,23.33,"Parking Brake Cable",1.30
RT27020,4.50,8.25,1.00,13.5,"Cup Holder Accent",0.10
3184086K,2.00,2.00,7.00,32.5,"Oil Pump Repair Kit",1.10
83501009,2.75,2.75,1.00,6.67,"Axle Shaft Seal",0.10
MFK15,13.50,20.00,4.00,76.67,"Master Filter Kit",3.80
52019278,4.00,5.00,5.00,23.33,"Engine Mount",1.70
33003515,2.00,1.00,5.00,9.83,"Intake Valve",0.30
RT21010,6.00,36.00,5.00,164.67,"Steering Shaft",8.00
MFK24,13.50,14.00,3.25,28.33,"Master Filter Kit",1.00
55075433,6.75,11.25,6.75,111.8,Mirror,2.60
5252057,4.00,5.25,1.50,56.67,"Shift Fork",0.40
55345947,44.00,62.50,11.00,400,Liftgate,35.00
52040236,4.00,19.50,2.00,15,"Radiator Hose",1.50
52037996,3.50,36.50,2.00,63.33,"Tie Rod",8.10
RT35007,4.13,4.13,1.38,28.5,"Throttle Body Spacer Kit",0.50
55134537,3.00,3.00,1.50,31.67,"Hard Top Seal",0.06
33004650,4.00,1.75,4.25,63.33,"Throttle Position Sensor",0.30
56027722,5.50,5.75,2.50,90,"Wheel Speed Sensor",0.50
52000074,4.00,4.50,3.00,15,"Engine Mount",1.30
5014038AA,1.00,4.00,0.50,1.92,"Parking Brake Hardware Kit",0.10
5066025AB,4.00,4.00,4.00,17.5,"Cv Joint Boot Kit",0.70
52100402AF,5.50,22.00,4.25,40,"Fuel Filter",0.88
4746257,5.75,7.00,2.25,158.33,"Transfer Case Chain",5.40
68069646AA,4.00,10.25,2.00,38.33,"Tie Rod End",2.63
4713584,6.50,4.00,4.00,23.33,"Fog Light Lens",0.50
55112698AB,22.75,44.00,15.00,55,"Fender Liner",2.80
52018933K,19.00,48.50,11.00,508.33,"Exhaust Kit",39.00
83500199,2.25,2.25,0.50,6.67,"Axle Shaft Seal",0.10
52003768,4.00,1.50,4.00,14.83,"Fuel Cap",0.40
52002661,2.50,2.50,1.50,6,"Body Mount Sleeve",0.30
52028263,3.50,10.50,13.00,9.83,"Radiator Hose",0.90
4781580AA,2.00,2.75,0.25,5.67,"Intake Manifold Seal",0.10
52003132,2.50,2.50,3.50,7.5,"Power Steering Reservoir Cap",0.10
68032581AD,12.00,15.00,2.25,35,"Hood Release Cable",0.20
55155576AE,11.00,19.00,9.75,150,Headlight,5.90
4762464,12.00,13.00,1.00,43.33,"Parking Brake Cable Set",1.90
5093189AB,0.44,1.31,0.44,1.75,"Bleeder Screw",0.06
6510734AA,1.00,1.38,1.00,1,Retainer,0.02
5252985,8.00,8.00,6.00,91.67,"Brake Caliper",8.30
56006240,1.00,3.75,0.75,4.17,"Spark Plug",0.10
68144427AB,4.00,11.00,3.00,53.33,"Brake Pad Set",8.60
55154959AI,2.50,11.00,23.00,131.67,"Window Regulator",3.00
55034074,11.50,12.25,0.25,20.83,"Headlight Bezel",0.40
52017534,4.50,4.75,4.25,27.5,"Engine Mount",1.90
52040404,4.00,36.00,1.75,61.67,"Track Bar",8.00
83501425,1.50,1.50,1.00,2.92,"Engine Oil Drain Plug",0.10
56028181AB,3.25,3.25,1.25,15.83,"Neutral Safety Switch",0.60
5066425AA,2.50,2.50,2.00,13.33,"Brake Caliper Piston",0.60
5290641AC,3.75,20.00,3.00,125,"Shock Absorber",6.50
53000692,2.75,2.75,1.00,7.08,"Exhaust Manifold Seal",0.20
55154803,9.00,11.50,8.00,101.67,Mirror,1.60
56006981,3.50,3.50,1.75,30,"Brake Light Switch",0.20
83502980,15.00,43.00,9.00,53.33,Tailpipe,6.40
52060049AE,4.00,2.00,8.00,41.67,"Tie Rod End",2.00
5356661K,3.00,3.00,3.25,55,"Wheel Bearing Kit",1.60
52001961,2.50,2.50,2.50,5.17,"Body Mount Sleeve",0.30
83503022,3.75,4.00,0.25,6.67,"Axle Shaft Retainer",0.40
52003205,7.50,7.50,4.00,56.67,"Fan Clutch",3.00
5072307AA,3.25,3.25,0.50,15,"Output Seal",0.20
52058994,5.00,6.00,4.25,46.67,"Transmission Mount",3.60
5012710AA,4.00,4.00,1.75,25,"Blend Door Actuator",0.31
56026746,4.25,14.50,1.00,38.33,"Distributor Pickup",0.10
J3226119,2.50,3.50,0.50,2.83,"Battery Tray Clamp",0.10
5072445AA,5.00,8.00,3.00,31.67,"Tie Rod End",2.40
55029560,6.00,30.00,5.00,31.67,"Liftgate Support",0.80
52000849,2.50,4.00,2.50,19.17,"Wheel Cylinder",1.40
68027600AA,3.25,3.25,1.25,36.67,"Rocker Arm",0.19
56007189,4.00,4.00,4.00,21.67,Horn,0.70
RT28083,6.50,24.00,5.06,127.5,"LED Light Bar",8.80
