Number,Vendor,Length,Width,Height,Price,Description,Weight
RT33003,Crown,4.75,4.50,1.50,22.5,D-Ring,1.31
55000299,Crown,1.00,2.50,22.00,12.5,"Wiper Blade",0.30
5012322AB,Crown,15.00,4.00,2.25,146.67,"Transfer Case Chain",3.40
52852913AB,Crown,7.50,7.50,2.25,21.67,"Transmission Filter",0.60
RT24003,Crown,2.75,2.75,0.50,2.75,"Output Seal",0.10
4060952,Crown,16.50,3.50,1.00,65,"Accessory Drive Belt",0.60
4137734,Crown,1.25,0.50,0.50,0.58,"Disconnect Housing Bolt",0.10
55075432,Crown,11.25,6.75,6.00,111.8,Mirror,2.60
5182554AD,Crown,56.00,16.00,12.50,50,"Fender Liner",1.40
53010085,Crown,5.25,5.25,1.25,26.67,"Power Steering Pump Pulley",1.30
4798117,Crown,3.00,3.00,0.75,9.83,"Output Seal",0.10
4856142,Crown,3.50,4.50,3.00,60,Yoke,2.30
55029558,Crown,1.00,1.00,26.25,30.83,"Liftgate Support",0.80
4713021,Crown,20.25,12.00,3.25,38.33,"Engine Oil Pan Gasket",0.20
5252502,Crown,1.75,0.50,0.25,4,"Differential Shaft Bolt",0.10
52111597AA,Crown,39.50,4.50,4.50,400,"Drive Shaft",18.40
56027275,Crown,3.75,1.00,1.00,4.17,"Spark Plug",0.10
52040305,Crown,6.00,5.00,4.75,23.33,"Shock Absorber Bracket",1.40
4720933,Crown,2.50,1.50,0.50,4.17,"Key Blank",0.10
52104112,Crown,20.50,13.00,4.50,191.67,"Clutch Hydraulic Assembly",3.10
52089328AC,Crown,5.50,5.50,1.50,10,"Coil Spring Isolator",0.40
52002541,Crown,5.50,5.50,4.00,21.67,"Tie Rod End",1.30
52058929,Crown,6.00,9.50,6.00,56.67,"Engine Mount",6.70
4773426,Crown,7.50,7.50,4.25,110,"Fan Clutch",4.10
52000232,Crown,6.50,3.50,0.50,2.92,U-Bolt,0.70
52080090,Crown,22.00,2.25,2.00,38.33,"Radiator Hose",1.20
5252060,Crown,5.50,2.00,1.00,33.33,"Reverse Shift Arm",0.40
J8128191,Crown,22.00,11.00,3.00,141.67,"Engine Gasket Set",4.00
4728156,Crown,4.00,4.00,4.00,108.33,"Drive Sprocket",1.00
83500380,Crown,3.75,3.50,1.75,78,"Third Gear",1.70
55024254,Crown,1.00,1.50,24.00,17.5,"Door Glass Weatherstrip",0.30
922076,Crown,8.50,3.00,3.00,23.83,"Clutch Bellcrank",1.00
53004369,Crown,41.00,4.00,4.00,466.67,"Drive Shaft",12.00
53003006,Crown,14.00,13.50,3.25,93.33,"Pressure Plate",11.10
55010064,Crown,9.50,11.00,2.50,38.13,"Liftgate Weatherstrip",1.30
56000098,Crown,12.50,4.25,4.25,16.67,"Parking Light",0.80
52005752,Crown,17.00,3.50,1.00,11.67,"Heater Hose",0.30
52040278,Crown,40.00,27.50,11.25,81.67,"Front Pipe",5.70
52002540,Crown,50.00,4.50,4.00,86.67,"Tie Rod",12.00
5272909AB,Crown,14.25,14.25,6.25,233.33,"Tail Light",4.00
4773765,Crown,8.00,6.00,4.50,73.33,"Receiver Drier",2.40
52003130,Crown,8.00,6.00,4.25,26.67,"Power Steering Reservoir",0.60
52040110,Crown,8.00,2.00,1.00,21.67,"Pitman Arm",2.40
5174319AA,Crown,1.25,0.50,0.50,2.5,"Bleeder Screw",0.10
53000957,Crown,1.25,1.25,0.50,1.33,"Valve Cover Grommet",0.10
52006421,Crown,6.00,4.00,1.00,7.5,"Leaf Spring Plate",1.90
68140033AA,Crown,2.00,5.00,5.00,5.83,"Liftglass Hinge Cover",0.20
52028378,Crown,29.00,26.50,8.50,280,Radiator,15.40
4746316,Crown,2.50,1.50,0.25,5,"Key Blank",0.10
55035565,Crown,6.25,6.25,6.25,75,"Blower Motor",2.80
55074990,Crown,19.00,10.00,1.75,95,"Window Regulator",2.60
55135891AF,Crown,30.25,1.50,0.75,35,"Door Glass Weatherstrip",0.70
RT34092,Crown,4.50,4.00,0.50,20,"Door Hinge Bracket Set",0.60
33004522,Crown,6.25,3.00,3.00,36.67,"Ignition Coil",1.30
52088432,Crown,34.00,5.00,3.00,81.67,"Track Bar",9.60
52079565,Crown,20.00,10.00,7.50,43.33,"Radiator Hose",1.30
83502924,Crown,6.50,2.25,2.25,100,"Control Valve",1.70
53006625,Crown,20.50,3.50,0.12,7.5,"Intake Manifold Gasket",0.20
55176184,Crown,10.25,2.25,1.75,49.17,"Tailgate Hinge",2.60
55176224,Crown,3.00,2.25,2.00,12.5,"Door Channel",0.40
6509135AA,Crown,1.25,0.50,0.50,0.8,Retainer,0.02
4713193,Crown,33.00,7.50,7.50,165,"Axle Shaft",19.10
55399256AE,Crown,18.00,17.00,3.50,35,"Door Weatherstrip",3.40
33001907,Crown,8.25,8.25,8.25,266.67,"Power Steering Pump",9.60
55054930,Crown,11.00,10.75,4.00,15.83,"Headlight Bezel",0.40
5252594,Crown,17.25,1.25,1.25,113.33,"Axle Shaft",5.30
55235408,Crown,18.00,1.00,0.50,12.5,"Door Glass Weatherstrip",0.30
5149141AF,Crown,3.00,3.00,2.00,41.67,"Camshaft Position Sensor",0.19
RT26076,Crown,7.50,7.00,3.50,40.5,"Spare Tire Spacer",7.80
52003791,Crown,4.50,3.00,3.00,20,"Radiator Hose",1.50
83500964,Crown,2.00,2.00,0.50,7.33,"Thrust Washer",0.10
52058996,Crown,7.25,5.50,4.50,58.33,"Transmission Mount",6.80
5154230AD,Crown,5.00,5.00,2.00,30,"Wheel Speed Sensor",0.19
52002723MK,Crown,11.00,6.50,5.50,183.33,"Body Mount Master Kit",9.00
5281090,Crown,4.00,4.00,4.00,6,"Oil Filter",0.20
52067639,Crown,3.00,2.00,3.00,40,"Speedometer Gear",1.80
52040430,Crown,31.00,1.00,0.25,28.33,"Accelerator Cable",0.10
52067634,Crown,3.25,3.25,1.50,40,"Speedometer Gear",0.10
55235409,Crown,18.00,1.00,0.50,12.5,"Door Glass Weatherstrip",0.30
68027611AB,Crown,5.75,3.50,3.25,80,"Drive Belt Tensioner",1.80
4897159AB,Crown,4.25,3.50,7.00,113.33,"Drive Belt Tensioner",3.20
5033307AC,Crown,2.50,2.25,2.00,22.5,"Crankshaft Position Sensor",0.06
55076467AG,Crown,23.50,11.25,3.00,103.33,"Window Regulator",4.40
52038014,Crown,31.00,6.00,1.00,35,"Power Steering Pressure Hose",1.20
8124564,Crown,4.00,2.50,2.50,38.33,"Wheel Cylinder",1.30
4797003,Crown,12.50,4.25,3.50,46.67,"Receiver Drier",2.20
52087768,Crown,1.75,1.75,0.75,1.5,"Shock Absorber Bushing",0.10
56041889AA,Crown,3.25,3.25,1.25,4.33,"Ignition Capacitor",0.10
4792317AB,Crown,1.50,1.50,0.12,5.67,"Crankshaft Seal",0.10
6502871,Crown,1.63,0.63,0.63,1.58,Retainer,0.02
52088512,Crown,4.50,3.50,12.00,36.67,"Tie Rod End",2.60
83502978,Crown,25.00,11.00,5.00,100,Muffler,8.60
35025104,Crown,4.50,2.00,2.00,5.83,"Window Handle",0.10
53007386,Crown,1.75,10.00,11.50,15.6,"Air Filter",0.80
5011983AA,Crown,3.00,3.00,2.00,13,"Brake Caliper Piston",0.30
52079050,Crown,19.00,2.00,1.75,140,"Steering Shaft",3.10
53020445,Crown,1.25,7.25,7.25,25,"Camshaft Sprocket",2.10
56001278,Crown,4.00,7.00,8.50,23.33,"Headlight Seat",0.50
52028226,Crown,17.00,6.00,9.00,20.83,"Radiator Hose",1.30
4897383AB,Crown,20.50,3.50,1.00,33.33,"Intake Manifold Gasket Set",0.50
52087878,Crown,35.00,4.00,2.25,80,"Track Bar",8.50
5182597AC,Crown,12.00,4.50,3.25,10.83,"Bumper Bracket",0.40
52018856,Crown,9.00,3.00,3.00,43.33,"Transmission Mount",3.00
52088104,Crown,17.00,5.00,5.00,60,"Coil Spring",8.90
53010424,Crown,0.75,0.75,0.50,1.33,"Valve Cover Mounting Grommet",0.10
83500285,Crown,4.75,4.50,2.00,123.33,"Third Gear",1.80
5093355AA,Crown,1.25,0.75,0.75,2.67,"Brake Caliper Bolt",0.10
83503318,Crown,3.50,4.25,4.50,40,Yoke,1.10
55024255,Crown,2.00,26.00,2.25,17.5,"Door Glass Weatherstrip",0.30
55345059,Crown,61.50,44.00,13.50,303.33,Hood,45.00
83500643,Crown,3.25,3.25,1.25,66.67,"Input Shaft Bearing",1.10
52088175,Crown,33.50,4.00,2.50,78.33,"Track Bar",6.40
53020280,Crown,16.00,12.00,7.00,75,"Water Pump",6.90
56002688,Crown,3.00,3.00,3.00,30,"Thermostat Switch",0.20
5105087AN,Crown,24.00,9.00,2.00,66.67,"Power Steering Pressure Hose",1.40
5252034,Crown,14.00,11.00,11.00,600,"Transmission Case",17.50
52087887,Crown,32.00,2.00,2.00,86.67,"Drag Link",7.30
53003903,Crown,10.00,7.50,7.00,291.67,"Power Steering Pump",12.00
83500569,Crown,7.00,4.75,4.75,1.17,"Synchronizer Spring",0.10
5066054AA,Crown,1.00,0.75,0.75,6.33,"Differential Drain Plug",0.10
57010720AC,Crown,7.00,2.50,1.25,20,Reflector,0.13
53006090,Crown,5.00,5.00,2.00,133.33,"Range Sleeve",1.30
56000213,Crown,13.00,32.00,2.00,56.67,"A/C Hose",1.20
83500971,Crown,3.50,3.50,1.75,98.33,"Fifth Gear",0.60
83506052,Crown,11.00,0.75,0.75,41.67,"Shift Shaft",0.80
56000409,Crown,7.25,2.50,2.00,14.17,"License Plate Light",0.10
68029829AB,Crown,3.25,1.25,1.25,13.33,"Key Blank",0.06
56026921,Crown,1.50,3.25,3.50,63.33,"Crankshaft Position Sensor",0.20
83500642,Crown,4.00,4.00,2.25,66.67,"Synchronizer Sleeve",0.60
83502646,Crown,25.00,11.25,4.75,98.33,Muffler,12.30
5252043,Crown,4.50,3.00,1.00,2,"Shift Retainer Gasket",0.10
52001094,Crown,2.75,1.25,4.25,20,"Sway Bar Link",0.50
52003361,Crown,1.25,1.25,0.25,1.5,"Sway Bar Link Retainer",0.10
5252235,Crown,6.00,6.00,5.00,202,"Hub Assembly",10.40
55076310AB,Crown,26.00,0.75,0.75,30,"Liftgate Support",0.90
6101489,Crown,0.75,0.50,0.12,0.75,"Mini Fuse",0.10
52028266,Crown,19.00,5.00,2.50,15.83,"Radiator Hose",0.90
4636368,Crown,6.00,5.50,2.50,216.67,"First Gear",4.80
83506250,Crown,0.75,0.25,0.25,1.75,"Synchronizer Key",0.10
55395578AB,Crown,11.00,6.50,0.25,26.67,"Windshield Bracket",2.00
68267931AA,Crown,8.00,7.50,4.50,92,"Brake Caliper",8.60
83503712,Crown,7.00,7.00,3.00,135.2,"Neutral Safety Switch",0.80
5010811AA,Crown,4.50,4.00,0.25,8,"Axle Shaft Retainer",0.30
52059901AD,Crown,17.00,7.50,2.25,40,"Power Steering Pressure Hose",0.75
4638128,Crown,3.25,1.25,1.50,40,"Crankshaft Position Sensor",0.19
4762102,Crown,6.25,5.00,3.50,98.33,"Brake Caliper",4.50
5101786AA,Crown,11.50,11.50,11.50,200,"Evaporator Core",5.90
J0945451,Crown,2.00,0.75,0.75,0.92,"Wheel Stud",0.10
53020992,Crown,0.25,8.00,18.50,25,"Valve Cover Gasket",0.60
68004073AA,Crown,0.75,0.75,14.00,1.5,"Pinion Oil Slinger",0.10
52040289,Crown,13.00,6.00,2.00,11.67,"Radiator Hose",0.80
68003994AA,Crown,14.00,13.50,3.25,266.67,"Evaporator Core",2.80
68224731AC,Crown,12.00,4.50,3.25,30.83,"Sway Bar Link",1.00
33007127,Crown,3.18,3.18,1.25,106.67,"Fuel Injector",0.30
53004265,Crown,8.00,8.00,8.00,199.33,Alternator,9.60
68022107AC,Crown,36.50,5.50,4.75,491.67,"Drive Shaft",17.40
4637862,Crown,11.00,9.25,9.25,191.67,"Brake Booster",7.70
4778347,Crown,3.00,3.00,2.00,31.67,"Windshield Washer Pump",0.30
5252614,Crown,3.00,3.00,3.00,18.33,"Brake Caliper Rebuild Kit",0.70
83503655,Crown,4.00,2.50,2.50,28.33,"Starter Solenoid",1.50
35002115,Crown,1.00,0.50,0.12,1,"Molding Clip",0.10
4864473,Crown,11.00,3.75,1.75,41.67,"Distributor Pickup",0.10
53020833AB,Crown,10.00,13.00,30.00,125,"Engine Oil Pan",12.40
5252531,Crown,9.00,4.00,3.00,26.67,"Brake Pad Set",3.30
52059900AF,Crown,14.50,14.50,2.00,45,"Power Steering Pressure Hose",1.50
83504097,Crown,7.00,2.00,2.00,36.67,"Clutch Master Cylinder Repair Kit",0.30
52088452AD,Crown,13.00,5.00,5.00,55,"Power Steering Pressure Hose",1.10
52124768AB,Crown,4.00,4.00,4.00,81.67,"Wheel Bearing",3.20
83500201,Crown,3.50,2.75,0.25,6.67,"Axle Shaft Slinger",0.10
55013514,Crown,48.00,21.00,19.00,200,Fender,19.30
52000070,Crown,6.00,3.00,1.00,67.6,"Clutch Slave Cylinder",1.80
55154947AC,Crown,13.75,8.00,5.50,81.67,Mirror,2.40
68004086AA,Crown,13.00,12.50,5.00,158.33,"Steering Knuckle",15.50
4778595,Crown,13.00,13.00,3.00,160,"Differential Gear Kit",5.40
83506257,Crown,4.50,4.50,1.75,70,"Synchronizer Sleeve",0.70
55394098AE,Crown,14.25,1.25,1.00,25,"Radiator Support Brace",0.38
53022143AB,Crown,2.25,2.25,0.25,10,"Intake Manifold Seal",0.02
55055146,Crown,8.25,2.50,2.50,9.58,"Side Marker Light",0.20
56001424,Crown,6.75,1.50,1.25,5,"Side Marker Light",0.10
52059983AD,Crown,34.00,4.00,2.00,106.67,"Track Bar",9.40
56021346,Crown,6.00,4.00,4.00,65.83,"Ignition Switch",0.80
56028189,Crown,3.75,1.00,0.75,4.17,"Spark Plug",0.10
52059982AD,Crown,34.50,5.00,1.75,106.67,"Track Bar",9.80
68027792AA,Crown,4.00,3.00,19.75,81.67,"Shock Absorber",5.90
83506030,Crown,3.25,3.25,1.25,50,"Main Shaft Bearing",1.10
4883022,Crown,12.50,9.25,4.25,126.67,Mirror,2.30
4864566,Crown,12.00,4.00,4.00,80,"Water Pump",3.30
52018823,Crown,1.50,1.50,0.25,4,"Vapor Valve Seal",0.10
52088511,Crown,12.00,4.25,3.25,22.5,"Tie Rod End",2.70
83500187,Crown,8.00,8.00,5.00,760,"Ring & Pinion Kit",12.40
83501167,Crown,9.75,4.00,3.25,25,"Brake Pad Set",4.20
5252079,Crown,4.00,4.00,2.25,123.33,"Third Gear",2.00
52001174,Crown,2.00,1.50,4.00,20,"Nut Strip",0.90
53001184,Crown,12.75,12.75,1.00,90,Flexplate,5.00
D44JK513R,Crown,16.50,11.25,7.00,330,"Ring & Pinion",16.50
MFK10,Crown,14.00,10.00,5.50,80.83,"Master Filter Kit",2.40
52028069,Crown,23.00,14.50,2.00,40,"Radiator Hose",1.30
83500505,Crown,7.00,5.00,0.13,1.42,"Input Bearing Retainer Gasket",0.10
4593684AA,Crown,1.00,3.00,14.00,45,"Accessory Drive Belt",0.50
52001180,Crown,4.00,4.00,9.00,13.33,"Transmission Mount",2.60
55019988,Crown,31.00,7.00,2.00,23.33,"Windshield Weatherstrip",1.50
52060048AD,Crown,34.50,4.50,4.00,68.33,"Drag Link",10.10
53004838,Crown,12.00,10.00,3.00,31.67,"Vacuum Harness",0.30
53020788,Crown,4.75,4.75,4.75,10,"Crankshaft Seal",0.10
52114079AA,Crown,3.25,3.25,0.25,1.33,"Axle Housing O-Ring",0.10
52060053AE,Crown,11.75,3.00,1.75,41.67,"Tie Rod End",2.80
55176340AG,Crown,39.00,18.50,4.50,226.67,Tailgate,18.70
6508914AA,Crown,1.81,0.75,0.75,2.17,"Brake Hose Bolt",0.06
4793576AB,Crown,3.25,2.25,2.50,29.17,"Ignition Switch",0.20
MFK13,Crown,14.00,10.00,5.50,21.67,"Master Filter Kit",2.60
5183516AA,Crown,3.50,0.75,0.75,40,"Differential Carrier Shim Kit",0.40
52060137AB,Crown,12.25,12.00,2.50,61.67,"Brake Rotor",16.60
53020873AC,Crown,8.50,7.00,12.00,78.33,"Water Pump",5.70
83504635,Crown,3.00,3.00,1.00,21.67,"Distributor Gear",0.10
5252084,Crown,3.00,3.00,2.00,91.67,"Reverse Idler Gear",1.60
8126964,Crown,3.25,3.25,1.25,5,"Wheel Cylinder Rebuild Kit",0.10
52060147AA,Crown,12.75,12.75,3.00,56.67,"Brake Rotor",16.30
52002544,Crown,2.25,2.25,4.50,20.8,"Steering Adjuster",1.20
53030730,Crown,9.50,6.75,2.00,9.5,"Air Filter",0.50
5135798AB,Crown,22.50,20.00,3.50,75,"Engine Gasket Set",4.00
55155678AD,Crown,15.00,5.00,2.00,18.33,"Fender Flare Retainer",0.30
53006724,Crown,5.00,1.50,1.50,10.83,"Exhaust Valve",0.20
5DY09DX8,Crown,7.00,11.00,21.00,38.33,"Bumper End Cap",1.50
4318137,Crown,1.00,3.75,6.00,5,"Spark Plug",0.90
83503112,Crown,7.50,5.00,1.00,76.67,"Input Bearing Retainer",0.70
33002672,Crown,14.00,14.00,1.00,115,Flywheel,26.50
55009828,Crown,12.00,12.00,3.00,30,"Door Weatherstrip",0.60
53021756AB,Crown,30.00,12.50,10.00,150,"Engine Oil Pan",8.80
83506047,Crown,10.25,1.00,0.75,61.67,"Shift Shaft",0.70
52003360K,Crown,2.50,2.50,8.25,20,"Sway Bar Link",0.80
RT27001,Crown,1.25,5.50,5.50,27.5,"Dash Control Knob Set",0.40
4777086,Crown,2.00,2.00,0.25,5.83,"Camshaft Seal",0.10
52028141,Crown,20.00,9.50,5.00,20,"Radiator Hose",1.50
53054315,Crown,6.00,3.00,1.75,65,"Tie Rod End",1.30
52004706,Crown,8.25,1.00,1.00,23.33,"Parking Brake Cable",1.40
52005350,Crown,11.00,11.00,3.75,60,"Brake Drum",15.10
52005099,Crown,12.50,6.75,6.50,266.67,"Fuel Module",3.00
52006380,Crown,9.75,9.50,2.25,23.33,"Parking Brake Cable",1.30
RT27020,Crown,8.25,4.50,1.00,13.5,"Cup Holder Accent",0.10
3184086K,Crown,2.00,2.00,7.00,32.5,"Oil Pump Repair Kit",1.10
83501009,Crown,2.75,2.75,1.00,6.67,"Axle Shaft Seal",0.10
MFK15,Crown,20.00,13.50,4.00,76.67,"Master Filter Kit",3.80
52019278,Crown,5.00,4.00,5.00,23.33,"Engine Mount",1.70
33003515,Crown,1.00,2.00,5.00,9.83,"Intake Valve",0.30
RT21010,Crown,36.00,6.00,5.00,164.67,"Steering Shaft",8.00
MFK24,Crown,14.00,13.50,3.25,28.33,"Master Filter Kit",1.00
55075433,Crown,11.25,6.75,6.75,111.8,Mirror,2.60
5252057,Crown,5.25,4.00,1.50,56.67,"Shift Fork",0.40
55345947,Crown,62.50,44.00,11.00,400,Liftgate,35.00
52040236,Crown,19.50,4.00,2.00,15,"Radiator Hose",1.50
52037996,Crown,36.50,3.50,2.00,63.33,"Tie Rod",8.10
RT35007,Crown,4.13,4.13,1.38,28.5,"Throttle Body Spacer Kit",0.50
55134537,Crown,3.00,3.00,1.50,31.67,"Hard Top Seal",0.06
33004650,Crown,1.75,4.00,4.25,63.33,"Throttle Position Sensor",0.30
56027722,Crown,5.75,5.50,2.50,90,"Wheel Speed Sensor",0.50
52000074,Crown,4.50,4.00,3.00,15,"Engine Mount",1.30
5014038AA,Crown,4.00,1.00,0.50,1.92,"Parking Brake Hardware Kit",0.10
5066025AB,Crown,4.00,4.00,4.00,17.5,"Cv Joint Boot Kit",0.70
52100402AF,Crown,22.00,5.50,4.25,40,"Fuel Filter",0.88
4746257,Crown,7.00,5.75,2.25,158.33,"Transfer Case Chain",5.40
68069646AA,Crown,10.25,4.00,2.00,38.33,"Tie Rod End",2.63
4713584,Crown,4.00,6.50,4.00,23.33,"Fog Light Lens",0.50
55112698AB,Crown,44.00,22.75,15.00,55,"Fender Liner",2.80
52018933K,Crown,48.50,19.00,11.00,508.33,"Exhaust Kit",39.00
83500199,Crown,2.25,2.25,0.50,6.67,"Axle Shaft Seal",0.10
52003768,Crown,1.50,4.00,4.00,14.83,"Fuel Cap",0.40
52002661,Crown,2.50,2.50,1.50,6,"Body Mount Sleeve",0.30
52028263,Crown,10.50,3.50,13.00,9.83,"Radiator Hose",0.90
4781580AA,Crown,2.75,2.00,0.25,5.67,"Intake Manifold Seal",0.10
52003132,Crown,2.50,2.50,3.50,7.5,"Power Steering Reservoir Cap",0.10
68032581AD,Crown,15.00,12.00,2.25,35,"Hood Release Cable",0.20
55155576AE,Crown,19.00,11.00,9.75,150,Headlight,5.90
4762464,Crown,13.00,12.00,1.00,43.33,"Parking Brake Cable Set",1.90
5093189AB,Crown,1.31,0.44,0.44,1.75,"Bleeder Screw",0.06
6510734AA,Crown,1.38,1.00,1.00,1,Retainer,0.02
5252985,Crown,8.00,8.00,6.00,91.67,"Brake Caliper",8.30
56006240,Crown,3.75,1.00,0.75,4.17,"Spark Plug",0.10
68144427AB,Crown,11.00,4.00,3.00,53.33,"Brake Pad Set",8.60
55154959AI,Crown,11.00,2.50,23.00,131.67,"Window Regulator",3.00
55034074,Crown,12.25,11.50,0.25,20.83,"Headlight Bezel",0.40
52017534,Crown,4.75,4.50,4.25,27.5,"Engine Mount",1.90
52040404,Crown,36.00,4.00,1.75,61.67,"Track Bar",8.00
83501425,Crown,1.50,1.50,1.00,2.92,"Engine Oil Drain Plug",0.10
56028181AB,Crown,3.25,3.25,1.25,15.83,"Neutral Safety Switch",0.60
5066425AA,Crown,2.50,2.50,2.00,13.33,"Brake Caliper Piston",0.60
5290641AC,Crown,20.00,3.75,3.00,125,"Shock Absorber",6.50
53000692,Crown,2.75,2.75,1.00,7.08,"Exhaust Manifold Seal",0.20
55154803,Crown,11.50,9.00,8.00,101.67,Mirror,1.60
56006981,Crown,3.50,3.50,1.75,30,"Brake Light Switch",0.20
83502980,Crown,43.00,15.00,9.00,53.33,Tailpipe,6.40
52060049AE,Crown,2.00,4.00,8.00,41.67,"Tie Rod End",2.00
5356661K,Crown,3.00,3.00,3.25,55,"Wheel Bearing Kit",1.60
52001961,Crown,2.50,2.50,2.50,5.17,"Body Mount Sleeve",0.30
83503022,Crown,4.00,3.75,0.25,6.67,"Axle Shaft Retainer",0.40
52003205,Crown,7.50,7.50,4.00,56.67,"Fan Clutch",3.00
5072307AA,Crown,3.25,3.25,0.50,15,"Output Seal",0.20
52058994,Crown,6.00,5.00,4.25,46.67,"Transmission Mount",3.60
5012710AA,Crown,4.00,4.00,1.75,25,"Blend Door Actuator",0.31
56026746,Crown,14.50,4.25,1.00,38.33,"Distributor Pickup",0.10
J3226119,Crown,3.50,2.50,0.50,2.83,"Battery Tray Clamp",0.10
5072445AA,Crown,8.00,5.00,3.00,31.67,"Tie Rod End",2.40
55029560,Crown,30.00,6.00,5.00,31.67,"Liftgate Support",0.80
52000849,Crown,4.00,2.50,2.50,19.17,"Wheel Cylinder",1.40
68027600AA,Crown,3.25,3.25,1.25,36.67,"Rocker Arm",0.19
56007189,Crown,4.00,4.00,4.00,21.67,Horn,0.70
RT28083,Crown,24.00,6.50,5.06,127.5,"LED Light Bar",8.80
34201631,Crown,2.25,0.75,0.75,1.17,Rivet,0.10
52003876,Crown,7.50,5.00,2.00,5.33,"Radiator Hose",0.20
RT29011,Crown,3.00,3.00,2.00,4.75,"Fuse Holder",0.06
52003782,Crown,12.00,6.50,6.00,20,"Power Steering Return Hose",0.50
MFK16,Crown,14.00,10.00,5.50,21.67,"Master Filter Kit",3.00
52027779,Crown,26.75,7.50,1.50,43.33,"Radiator Hose",1.30
55055147,Crown,8.25,2.50,2.50,9.58,"Side Marker Light",0.20
52002659,Crown,2.25,2.25,0.75,4,"Body Mount Bushing",0.10
52006608,Crown,26.00,3.00,2.00,29,"Steering Adjuster",2.20
53005923,Crown,19.00,10.00,0.50,36.67,"Clutch Hose",0.40
52002750,Crown,2.75,2.50,1.50,5,"Pedal Pad",0.10
52037994,Crown,32.00,1.50,1.50,76.67,"Drag Link",7.00
5086930HK,Crown,7.00,3.00,1.50,31.67,"Parking Brake Hardware Kit",0.60
52080183,Crown,26.00,26.00,5.00,250,Radiator,14.00
5156116AA,Crown,28.25,8.75,8.25,148.33,"Header Panel Bracket",4.75
52088131,Crown,15.00,9.00,7.00,283.33,"Power Steering Pump",6.00
55154958AI,Crown,23.00,11.25,3.00,131.67,"Window Regulator",3.50
6508947AA,Crown,1.25,1.00,0.75,2.33,Retainer,0.10
55009829,Crown,11.00,11.00,2.00,30,"Door Weatherstrip",0.60
4883023,Crown,12.00,3.00,3.00,126.67,Mirror,3.50
56026701,Crown,4.25,4.50,1.75,60,"Crankshaft Position Sensor",0.30
52028262,Crown,18.50,6.00,3.00,10.67,"Radiator Hose",0.80
68111469AA,Crown,74.00,23.00,9.00,233.33,Fascia,4.20
56026770,Crown,3.25,3.25,1.25,70,"Map Sensor",0.10
52040290,Crown,10.00,7.00,5.00,17.5,"Radiator Hose",0.60
56026779,Crown,3.50,3.25,3.25,23.33,"Oil Pressure Sending Unit",0.10
5135673AA,Crown,3.50,3.50,0.75,70,"Pinion Bearing Set",0.20
55235404,Crown,16.00,1.25,0.50,18.33,"Door Glass Weatherstrip",0.20
4591611AA,Crown,3.25,3.25,1.50,58.33,"Idle Air Control Valve",0.30
83500191,Crown,15.00,9.00,4.00,58.33,"Differential Carrier Shim Kit",0.60
5069008AA,Crown,3.50,3.50,1.25,15,"Differential Cover Bolt Kit",0.30
4798145,Crown,18.50,3.00,3.00,150,"Main Shaft",7.50
52088538,Crown,10.25,7.25,4.00,40,"Power Steering Pressure Hose",0.80
5103453AA,Crown,8.00,2.50,2.50,51.67,"Windshield Washer Pump",0.40
68064273AB,Crown,0.75,0.75,0.75,3,"Shifter Bushing",0.02
5252497,Crown,13.00,13.00,3.00,250,"Differential Gear Kit",5.50
56001254,Crown,22.50,4.00,1.50,7.8,"Heater Hose",0.40
52060015AD,Crown,2.50,3.00,22.50,41.67,"Control Arm",4.10
68143096AC,Crown,16.50,11.12,2.50,36.67,"Fascia Skirt",1.00
4864957,Crown,4.00,4.00,4.00,40,"Blower Motor Resistor",0.10
5012606AB,Crown,20.50,2.50,1.50,35,"Wiper Arm",0.60
4883019,Crown,12.00,9.00,8.00,67.6,Mirror,2.30
33002675,Crown,15.00,15.00,2.50,115,Flexplate,7.00
52067635,Crown,3.25,1.50,3.25,40,"Speedometer Gear",1.70
55076093,Crown,3.00,5.00,9.00,36.67,"Door Handle",0.40
52005741,Crown,2.50,6.50,3.00,18.33,"Tie Rod End",1.50
52018814,Crown,2.50,2.50,1.00,3.47,"Exhaust Insulator",0.20
5149168AI,Crown,6.50,6.00,3.00,26.67,"Ignition Coil",0.63
56002950,Crown,4.00,4.00,32.00,67.6,"A/C Hose",1.90
52111594AA,Crown,41.50,5.60,5.25,158.33,"Drive Shaft",18.50
52078168,Crown,3.00,1.75,0.25,1.83,"Accelerator Pedal Spring",0.10
53001324,Crown,6.25,6.25,3.00,40,"Clutch Slave Cylinder",1.90
55054580,Crown,14.00,6.00,3.00,26.67,"Parking Light",1.10
55155649,Crown,16.00,2.00,1.50,15.83,"Wiper Arm",0.50
53004466,Crown,3.50,4.25,12.00,65,"Clutch Master Cylinder",1.20
53006192,Crown,5.25,4.00,2.00,15,"Thermostat Housing",0.60
5191212AA,Crown,3.00,3.00,3.00,18.33,"Brake Caliper Rebuild Kit",0.90
H2540,Crown,4.00,2.50,1.50,14,"Drum Brake Hardware Kit",0.31
83504747,Crown,4.00,4.00,0.50,13.83,"Input Seal",0.20
52005000,Crown,11.00,11.00,3.00,70,"Brake Rotor",15.00
68224850AE,Crown,6.00,3.00,3.00,23.33,"Sway Bar Link",0.60
55156883AB,Crown,3.75,3.50,1.75,23.33,"Side Marker Light",0.10
