REPLACES_PART,DESCRIPTION_NOTUPDATE,QUANTITY
J3240359          ,"VALVE,CRANKCASE",60
J3240502          ,"CHAIN, TIMING  ",43
J3240515          ,INSULATOR      ,4
J3240553          ,"STRAP, PROP.   ",12557
J3240767          ,"VALVE, EXHAUST ",3019
J3240768          ,"VALVE, INTAKE  ",40
J3241062          ,"KNOB, SHIFT    ",1177
J3241067          ,"INSERT, SHIFT  ",812
J3241073          ,"INSERT, SHIFT  ",991
J3241239          ,"CLIP,SHIFT LEVE",1088
J3241263          ,"BEARING, CLUTCH",-5
J3241399          ,"PUMP, OIL      ",86
J3241430          ,"INSERT, SHIFT  ",-12
J3241481          ,"ISOLATOR, SHIFT",1224
J3241602          ,"PUMP, OIL      ",32
J3241629          ,"VALVE,CRANKCASE",20
J3241709          ,"ROD, PUSH      ",118
J3241718          ,RING GEAR      ,18
J3241731          ,"GASKET, VALVE C",335
J3241856          ,"CLUTCH, FAN    ",13
J3241858          ,"CLUTCH, FAN    ",26
J3241867          ,"SLAVE CYLINDER,",165
J3242138          ,"PUMP, OIL      ",5
J3242139          ,"PUMP, OIL      ",-3
J3242141          ,"PUMP, OIL      ",15
J3242203          ,"CABLE, BRAKE   ",348
J3242280          ,"SPROCKET, CAM  ",70
J3242283          ,STARTER        ,1
J3242300          ,"CHAIN, TIMING  ",5
J3242321          ,"SWITCH, FUEL   ",436
J3242393          ,"ARM, ROCKER    ",40
J3242395          ,"ROD, PUSH      ",344
J3242397          ,"FILTER, OIL    ",164
J3242520          ,"RELAY, HORN    ",7
J3242659          ,"VALVE, INTAKE  ",5
J3242664          ,"LOCK, VALVE    ",733
J3242678          ,"SPRING, VALVE  ",13
J3242711          ,"MOUNT, ENGINE  ",215
J3242842          ,"WIRE, COIL     ",287
J3242854          ,"GASKET,MANIFOLD",550
J3242855          ,"GASKET,MANIFOLD",461
J3242886          ,"DAMPER, CRANK  ",84
J3243102          ,"PUMP, OIL      ",6
J3243136          ,"GASKET, OIL PLU",121
J3243152          ,"PAN, ENGINE OIL",-2
J3250005          ,"BEARING, PILOT ",4016
J3250141          ,"BELT, TIMING   ",0
J3250575          ,"SWITCH,IGNITION",169
J3250733          ,SEAL           ,1500
J3251156          ,"ROTOR, BRAKE   ",162
J3251236          ,"HOSE, POWER STE",328
J3609194          ,BUSHING        ,800
J3631218          ,SPRING         ,2
J3631896          ,"SWITCH,DOORJAM ",14
J3657374          ,MIRROR SUPPORT ,199
J3670544          ,"LAMP, LICENSE  ",70
J3671981          ,"SWITCH,HEADLAMP",118
J3678907          ,"HANDLE, WINDOW ",587
J3697757          ,"LAMP, LICENSE  ",140
J3698103          ,BUSHING        ,20612
J3726992          ,"HANDLE, WINDOW ",1077
J3728196          ,"CORE, HEATER   ",0
J3732585          ,"GASKET,LOCK CYL",199
J3752487          ,BUSHING        ,95
J4000056          ,"NUT, SWITCH    ",1181
J4000141          ,NUT            ,608
J4000334          ,"PLUG, FLOOR    ",1913
J4001916          ,FASTENER       ,418
J4002337          ,SCREW          ,26291
J4003672          ,RETAINER       ,237
J4003794          ,"SCREW, TORX HEA",1451
J4003794B         ,"BLACK SCREW, TO",5728
J4004109          ,"STUD, MANIFOLD ",116
J4004110          ,"STUD, MANIFOLD ",689
J4004311          ,"NUT, SHACKLE   ",991
J4004455          ,BOLT           ,1242
J4004751          ,"PLUG, DIFF.    ",1620
J4004815          ,"WASHER, FRONT  ",27282
J4004816          ,"NUT, INNER     ",6678
J4004836          ,NUT            ,607
J4004837          ,"NUT, WHEEL     ",80
J4004868          ,"NUT, PLASTIC   ",38008
J4004913          ,"WASHER, YOKE   ",2100
J4004919          ,SCREW          ,1548
J4004968          ,"BOLT, STEERING ",3845
J4005672          ,"NUT,WIPER PIVOT",1894
J4005694          ,"LUG NUT, CHROME",12996
J4005701          ,"CLIP, MOUNTING ",111
J4006047          ,CLAMP          ,2965
J4006080          ,NUT            ,1142
J4006204          ,LAMP ADJUSTER  ,149
J4006211          ,RETAINER       ,9283
J4006495          ,"NUT, SHIFT CONT",1564
J4006547          ,STUD           ,5022
J4006698          ,"BOLT, HEX      ",47308
J4006714          ,"STUD,WATER PUMP",1162
J4006866          ,"NUT, RETAINING ",260
J4006897          ,LOCK WASHER    ,18644
J4006926          ,NUT            ,9549
J4006928          ,"BOLT, 12 PT.   ",18789
J4006948          ,"BOLT, CAP      ",161
J4006956          ,"LUG NUT, STAINL",1468
J4006956BLK       ,"LUG NUT, BLACK ",-66
J4007109          ,STUD           ,8101
J4007117          ,RETAINER       ,16663
J4007177          ,"NUT, FLANGE    ",366
J4007199          ,"NUT, RETAINER  ",12866
J4007541          ,"BUMPER, HOOD   ",-26
J4007570          ,"BOLT,BODY MOUNT",1807
J4007571          ,"BOLT,BODY MOUNT",6296
J4200095          ,"NUT, FRONT HUB ",2605
J4200097          ,"RETAINER, HUB  ",3344
J4200323          ,SCREW          ,12814
J4200408          ,NUT AND WASHER ,2790
J4200414          ,"NUT, STRG WHEEL",395
J4485673          ,ROLLERS        ,9337
J4485691          ,"SEAL,AXLE SHAFT",1051
J4485692          ,"SEAL, OIL      ",139
J4485780          ,"PLATE, PRESSURE",2
J4486135          ,ADJUSTER       ,517
J4486140          ,"SEAL, OIL      ",3563
J4486141          ,"SEAL, OIL      ",4284
J4486286          ,"BEARINGS, CAM  ",5
J4486626          ,"BOLT, CONNECTIN",6871
J4486635          ,"GEAR, CAMSHAFT ",42
J4486713          ,"BEARING,UPPER  ",18745
J4486825          ,GEAR & PINION  ,0
J4487154          ,BEARING        ,56
J4487455          ,"VALVE, BRAKE CH",8268
J4487564          ,PISTON & PIN   ,3
J4487696          ,"BEARING, STRG. ",1224
J4487711          ,"CAM, TURN SIGNA",1917
J4487739          ,"CLIP, LOWER BEA",337
J4487743          ,"RETAINER, BEARI",5436
J4488087          ,ROTOR          ,5
J4488091          ,"CAP, DISTRIBUTO",7
J4488141          ,"BEARING, FRONT ",0
J4488760          ,CONTACT KIT    ,26
J5350061          ,"SWITCH, BACKUP ",24
J5350284          ,SWITCH         ,269
J5350541          ,"CABLE, RELEASE ",280
J5350570          ,TIE ROD END    ,307
J5350586          ,TIE ROD ASSY.  ,105
J5350589          ,"TUBE, TIE ROD  ",-2
J5350644          ,LOCK WASHER    ,2617
J5350663          ,"HOSE, BRAKE    ",68
J5350750          ,"CABLE, ACCELERA",134
J5350828          ,"CAP,FUEL FILLER",1396
J5351118          ,"SPRING, CLUTCH ",2114
J5351209          ,"ADJUSTER, CLUTC",989
J5351211          ,"ROD ASSY, CLUTC",1402
J5351252          ,"SPRING, CLUTCH ",2876
J5351274          ,"ROD ASSY, CLUTC",0
J5351275          ,"ROD, CLUTCH    ",1858
J5351302          ,ROD            ,1297
J5351388          ,"CABLE, ACCELERA",-2
J5351419          ,"CABLE, ACCELERA",492
J5351420          ,"CABLE, ACCELERA",445
J5351672          ,"CABLE, HAND BRA",192
J5351775          ,"CABLE, SPEEDOME",-3
J5351776          ,"CABLE, SPEEDOME",-2
J5351777          ,"CABLE, SPEEDOME",70
J5351778          ,"CABLE, SPEEDOME",37
J5351821          ,"PLATE, CONVERTE",14
J5352079          ,"BUSHING,SHACKLE",504
J5352088          ,U-BOLT         ,493
J5352163          ,DRAG LINK ASSY ,3
J5352169          ,"NUT, OUTER     ",57
J5352171          ,"SEAL, OIL      ",534
J5352186          ,"HOSE, BRAKE    ",10
J5352249          ,"BUSHING, SPRING",117
J5352250          ,"BUSHING, SPRING",4870
J5352268          ,"CAP, FRONT WHEE",28
J5352278          ,"ARM, PITMAN    ",155
J5352476          ,"DRUM, BRAKE    ",148
J5352620          ,"SWITCH, BRAKE  ",130
J5352637          ,"SEAL, OIL      ",33
J5352650          ,"CUP, RETAINER  ",35
J5352659          ,BUSHING        ,9414
J5352665          ,TIE ROD ASSY   ,-2
J5352688          ,"HOSE, BRAKE, RF",-4
J5352689          ,"HOSE, BRAKE, LF",6
J5352701          ,"HOSE, BRAKE    ",159
J5352765          ,"CABLE, BRAKE   ",461
J5352786          ,"SEAL, OIL      ",990
J5352787          ,"PIN, STABILIZER",59
J5352824          ,"HOSE, BRAKE    ",84
J5352825          ,"HOSE, BRAKE    ",16
J5353025          ,BOLT           ,7556
J5353073          ,"GASKET, EXHAUST",2161
J5353092          ,CABLE ASSY.    ,419
J5353135          ,"SHAFT, STEERING",17
J5353238          ,"CABLE, PARKING ",-7
J5353263          ,"BOOT, TRANSFER ",406
J5353347          ,"SEAL, OIL      ",17612
J5353851          ,"BUSHING, LEAF  ",429
J5354027          ,TUBE & LEVER   ,833
J5354060          ,YOKE           ,0
J5354381          ,"HOSE, PRESSURE ",11
J5354506          ,GEAR           ,262
J5354528          ,"HOSE, RADIATOR ",676
J5354689          ,"DISC, CLUTCH   ",28
J5354722          ,"CABLE, HAND BRA",148
J5354760          ,"HOSE, FILL     ",211
J5354892          ,"LEAF SPRING, F ",46
J5354934          ,"SHAFT, STEERING",344
J5355060          ,ROD            ,126
J5355062          ,ROD            ,20
J5355063          ,"ADJUSTER, CLUTC",412
J5355076          ,"HOSE, BRAKE    ",188
J5355281          ,"BRACKET, SPRING",560
J5355286          ,"CABLE, PARKING ",664
J5355287          ,"CABLE, PARKING ",108
J5355314          ,"TANK, FUEL     ",1
J5355315          ,"BUSHING, STAB. ",1031
J5355324          ,"CABLE, PARKING ",-2
J5355325          ,"CABLE, PARKING ",48
J5355330          ,CABLE          ,17
J5355333          ,"CABLE, PARKING ",10
J5355339          ,"BRACKET, BELLCR",1696
J5355342          ,"BUMPER, FRONT  ",38
J5355369          ,"BUSHING, LEAF  ",446
J5355446          ,"BRACKET, STRG. ",295
J5355457          ,"BUMPERETTE, BLK",2
J5355483          ,"CUSHION, JOUNCE",1178
J5355594          ,"LINK,STABILIZER",-6
J5355689          ,"BRACKET, SPRING",85
J5355714          ,HUB & DRUM     ,6
J5355719          ,"STUD, WHEEL    ",19513
J5355721          ,"CABLE, HAND BRA",90
J5355722          ,"CABLE, HAND BRA",25
J5355841          ,"BUSHING, SPRING",2704
J5355891          ,"HOSE, PRESSURE ",347
J5355962          ,"TIE PLATE, STRG",-12
J5355966          ,"BUSHING, SPRING",134
J5355987          ,TAILPIPE       ,24
J5356054          ,"HOSE, BRAKE    ",228
J5356104          ,PITMAN ARM     ,368
J5356105          ,DRAG LINK ASSY.,35
J5356106          ,PITMAN ARM     ,30
J5356183          ,DISC ASSY      ,48
J5356187          ,CABLE          ,8
J5356189          ,"CABLE, HAND BRA",65
J5356423          ,"LEAF SPRING, R ",49
J5356483          ,"CABLE, ACCELERA",82
J5356484          ,"CABLE, ACCELERA",8
J5356500          ,PROPELLER SHAFT,2
J5356569          ,"CABLE, ACCELERA",517
J5356598          ,"HOSE, ROUND END",382
J5356651          ,"STRAP, GAS TANK",2181
J5356661          ,"BEARING, WHEEL ",-4
J5356918          ,"BEARING, CLUTCH",2
J5357023          ,"SKID PLATE,FUEL",-19
J5357065          ,"HOSE, VENT     ",14
J5357190          ,"HOSE, RETURN   ",39
J5357191          ,"HOSE, PRESSURE ",35
J5357196          ,"STUD, WHEEL    ",13929
J5357373          ,"FLOAT, FUEL    ",347
J5357394          ,"CUP, BEARING   ",8
J5357412          ,"CABLE, HAND BRA",407
J5357436          ,"PLATE, PRESSURE",10
J5357497          ,"PLATE, SHACKLE ",2086
J5357499          ,"SHACKLE, REAR  ",517
J5357620          ,"SHACKLE, FRONT ",475
J5357677          ,GAUGE          ,46
J5357703          ,"CABLE, ACCELERA",409
J5357889          ,"TUBE,AIR INTAKE",-17
J5357931          ,"CABLE, ACCELERA",377
J5357953          ,"CABLE, ACCELERA",25
J5357970          ,"HOSE, FUEL FILL",171
J5357971          ,"HOSE, FUEL VENT",341
J5358444          ,"DUCT,AIR INTAKE",-13
J5358568          ,HUB & ROTOR    ,37
J5358641          ,CATALYTIC CONVE,0
J5358677          ,"CABLE, ACCELERA",104
J5358840          ,GASKET         ,667
J5358879          ,"STUD, INSULATOR",1906
J5358980          ,"SEAL,MAIN SHAFT",273
J5359011          ,"PLATE,SPRING,LF",-17
J5359012          ,"PLATE,SPRING,RF",129
J5359022          ,"GASKET, TRANSMI",263
J5359029          ,HUB AND DRUM   ,9
J5359037          ,"HOSE, BRAKE, FR",455
J5359272          ,"DUCT,AIR INTAKE",216
J5359275          ,ROTOR ASSY     ,26
J5359281          ,"DRUM, BRAKE    ",11
J5359322          ,"HOSE, BRAKE    ",145
J5359323          ,"HOSE, BRAKE    ",227
J5359384          ,PROPELLER SHAFT,0
J5359385          ,PROPELLER SHAFT,-20
J5359411          ,"GASKET, TRANS. ",1061
J5359457          ,"SEAL, OIL      ",328
J5359570          ,"HOSE, BRAKE    ",50
J5359703          ,"SEAL,WHEEL BRG.",4274
J5359735          ,"ADJUSTER, CLUTC",3906
J5359822          ,MASTER CYLINDER,123
J5359835          ,"LEVER, SHIFT   ",179
J5359903          ,"ROD, CLUTCH    ",1423
J5359943          ,"ROD,CLUTCH FORK",2956
J5360058          ,"VALVE, FUEL    ",1681
J5360112          ,"BRACKET, CLUTCH",1491
J5360135          ,"BUSHING, SHIFTE",27088
J5360950          ,"HOSE, RADIATOR ",20
J5360951          ,"HOSE, RADIATOR ",0
J5360955          ,"CUP,BEARING,AXL",537
J5360982          ,PROPELLER SHAFT,0
J5360983          ,PROPELLER SHAFT,0
J5360986          ,PROPELLER SHAFT,0
J5360995          ,PROPELLER SHAFT,22
J5360997          ,PROPELLER SHAFT,17
J5361007          ,PROPELLER SHAFT,2
J5361011          ,PROPELLER SHAFT,0
J5361015          ,PROPELLER SHAFT,0
J5361026          ,"CABLE, BRAKE   ",454
J5361029          ,"CABLE, BRAKE   ",1556
J5361183          ,"HOSE, FUEL FILL",-3
J5361184          ,"HOSE, FUEL VENT",126
J5361279          ,"CABLE, PARKING ",146
J5361280          ,"CABLE, PARKING ",0
J5361389          ,"FILTER, FUEL   ",960
J5361468          ,SENDING UNIT   ,95
J5361574          ,RADIATOR       ,10
J5361614          ,"BEARING, CLUTCH",40
J5361620          ,"FORK, CLUTCH   ",616
J5361674          ,"BUSHING, STAB. ",1743
J5361829          ,"MOUNT, ENGINE  ",249
J5362001          ,"GASKET, FLANGE ",1127
J5362090          ,"FLOAT, FUEL    ",393
J5362131          ,"CABLE, PARKING ",8
J5362132          ,"CABLE, BRAKE   ",29
J5362158          ,"HOSE, FUEL FILL",964
J5362159          ,"HOSE, FUEL VENT",887
J5362162          ,"HOSE, RADIATOR ",192
J5362170          ,"CLUTCH, FAN    ",0
J5362173          ,"LEVER,DIRECTION",1762
J5362180          ,"BELT,ALTERNATOR",13
J5362278          ,PROPELLER SHAFT,0
J5362283          ,CAP            ,1950
J5362492          ,RADIATOR       ,-1
J5362698          ,"HOSE, RADIATOR ",6
J5362722          ,"CLUTCH, FAN    ",-2
J5362725          ,MUFFLER & TAILP,15
J5362800          ,"CABLE, ACCELERA",44
J5362801          ,"CABLE, ACCELERA",262
J5362842          ,"HOSE, BRAKE    ",178
J5362871          ,"HOSE, BRAKE    ",3
J5362920          ,"BOTTLE, COOLANT",1000
J5362950          ,LEAF SPRING HD ,25
J5362956          ,LEAF SPRING HD ,84
J5363229          ,"LEAF SPRING, F ",1
J5363231          ,STEERING GEAR  ,194
J5363331          ,"LEAF SPRING, R ",23
J5363421          ,HUB & ROTOR    ,0
J5363439          ,"PLATE,LEAF SPR.",-23
J5363440          ,"PLATE,LEAF SPR.",-2
J5363490          ,"SENDER, FUEL   ",23
J5363508          ,"PAD, PEDAL     ",362
J5363661          ,"HOSE, POWER STE",196
J5363662          ,"HOSE, POWER STE",163
J5363756          ,"HOSE, BRAKE    ",287
J5363908          ,"HOSE, BRAKE    ",112
J5363917          ,"HOSE, FRT BRAKE",6
J5364121          ,"LINK,STABILIZER",-17
J5364122          ,"LINK,STABILIZER",205
J5364620          ,"ROD,CLUTCH BELL",904
J5364621          ,"LEVER, CLUTCH  ",1365
J5364659          ,"HOSE, RADIATOR ",19
J5364660          ,"HOSE, RADIATOR ",2
J5364684          ,"CABLE, ACCELERA",451
J5364760          ,FILLER NECK    ,1350
J5365082          ,"SEAL, WHL BRG. ",612
J5370014          ,LOCK NUT       ,1
J5370016          ,"HOSE, PRESSURE ",14
J5370018          ,"HOSE, PRESSURE ",7
J5370019          ,"HOSE, POWER STE",193
J5450558          ,"SWITCH,HEADLAMP",66
J5450662          ,PIVOT          ,382
J5452266          ,FLASHER RELAY  ,273
J5453949          ,"CHANNEL SEAL,  ",242
J5453950          ,WEATHERSTRIP   ,808
J5453956          ,"MOTOR, WIPER   ",-7
J5453957          ,"PIVOT, WIPER   ",1417
J5453958          ,"ARM, WINDSHIELD",19
J5453960          ,"LINK, WIPER    ",494
J5454025          ,TAILGATE       ,73
J5454184          ,"SEAL, LIFTGATE ",-1
J5454951          ,"SWITCH,IGNITION",-2
J5455071          ,"EXTENSION, FEND",363
J5455072          ,"EXTENSION, FEND",241
J5455073          ,"EXTENSION, FEND",167
J5455074          ,"EXTENSION, FEND",219
J5455290          ,BUMPER         ,215
J5455301          ,"MIRROR ARM,LEFT",91
J5455302          ,"MIRROR ARM,RIGH",104
J5455398          ,SEALER         ,304
J5455853          ,"SOCKET,SIDEMARK",2667
J5455997          ,HANDLE         ,1607
J5456647          ,"RELAY, HORN    ",40
J5456734          ,SLEEVE (TUBE)  ,-15
J5457057          ,WINDOW CHANNEL ,310
J5457112          ,"SEAL, TAILGATE ",-4
J5457117          ,"OVERLAY, DASH  ",386
J5457197          ,"TAIL LAMP, LEFT",179
J5457198          ,"TAIL LAMP,RIGHT",177
J5457882          ,"KNOB, HEADLAMP ",923
J5458874          ,"MOULDING, W/S  ",283
J5458875          ,"MOULDING, W/S  ",342
J5459081          ,"SPACER, WIPER  ",204
J5459189          ,"KNOB, DASH     ",214
J5459207          ,"STRAP, DOOR    ",769
J5459418          ,TACHOMETER     ,633
J5459515          ,"MOUNT, BODY    ",2390
J5459552          ,"LENS,TAILLAMP,R",4044
J5460087          ,"BEZEL, HEADLAMP",-17
J5460089          ,"SWITCH, WIPER  ",604
J5460106          ,"LAMP,PARKING, R",541
J5460107          ,"LAMP,PARKING, L",493
J5460640          ,"GAUGE, OIL     ",-1
J5460643          ,"SENDER, OIL PR.",27
J5461361          ,"BRACKET, SPARE ",469
J5461816          ,"SWITCH, DIMMER ",20
J5462328          ,"HOSE, DEFROSTER",-121
J5462332          ,"WEATHERSTRIP, T",377
J5462446          ,"SPACER,BODY MT.",297
J5462447          ,"SPACER,BODY MT.",176
J5462736          ,MIRROR HEAD    ,151
J5462784          ,"SWITCH, BLOWER ",-10
J5463655          ,"CABLE, HEATER &",877
J5463656          ,"CABLE, TEMPERAT",900
J5463657          ,"CABLE, FRESH AI",445
J5465070          ,"GRILLE, CHROME ",-3
J5465084          ,"CHANNEL, WINDOW",264
J5465790          ,"BASE, LAMP, R  ",336
J5465791          ,"BASE, LAMP, L  ",273
J5469603          ,WEATHERSTRIP   ,4
J5469605          ,"SEALER,TAILGATE",1562
J5469877          ,"CORE, HEATER   ",10
J5750279          ,"GAUGE, OIL     ",-5
J5751098          ,"SWITCH,HEADLAMP",34
J5751194          ,"MIRROR ARM,LEFT",175
J5751195          ,"MIRROR ARM, NLA",0
J5751207          ,"SWITCH, BACK UP",656
J5751929          ,HANDLE         ,162
J5751959          ,"CABLE, SPEEDOME",802
J5752009          ,"BOOT, SHIFTER  ",653
J5752010          ,"BOOT, SHIFTER  ",-11
J5752125          ,"RELAY, STARTER ",1
J5752279          ,"BOX, INNER GLOV",421
J5752281          ,"CABLE, SPEEDOME",18
J5752282          ,"CABLE, SPEEDOME",219
J5752285          ,"CABLE, SPEEDOME",101
J5752395          ,"CABLE, SPEEDOME",323
J5752396          ,"CABLE, SPEEDOME",-1
J5752617          ,"CABLE,TAILGATE ",225
J5752656          ,"GRILLE, RADIATO",20
J5752771          ,"LAMP, FRONT PAR",475
J5752791          ,STARTER ASSY   ,8
J5752810          ,"KNOB, HEADLIGHT",896
J5752813          ,"LAMP, ""LIGHTS"" ",2230
J5752814          ,"LAMP,""WIPER-WAS",2059
J5752815          ,"LAMP, ""AIR""    ",3587
J5752816          ,"LAMP, ""TEMP""   ",437
J5752817          ,"LAMP, ""DEF""    ",2451
J5752818          ,"LAMP, ""FAN""    ",3137
J5752943          ,"MOTOR, BLOWER  ",0
J5758005          ,"ARM,WIPER,STNLS",809
J5758027          ,"CABLE, HOOD REL",181
J5758072          ,WEATHERSTRIP   ,39
J5758172          ,"HANDLE, DOOR   ",432
J5758173          ,"HANDLE, DOOR   ",220
J5758254          ,"TAIL LAMP,RIGHT",117
J5758255          ,"TAIL LAMP, LEFT",118
J5758467          ,"MOTOR, WIPER   ",151
J5758618          ,"FENDER, LEFT   ",69
J5758687          ,"SWITCH, WIPER  ",179
J5758695          ,"SWITCH,OIL PRES",13
J5758904          ,"SWITCH, WIPER  ",940
J5758964          ,"FENDER, RIGHT  ",73
J5758971          ,"FRAME,WINDSHIEL",672
J5761110          ,SPEEDOMETER ASS,-1
J5761180          ,HOOD           ,19
J5761330          ,"CLOCK, INST.   ",-7
J5761372          ,"BUMPER, HOOD   ",9544
J5762337          ,"ARM,WIPER,BLACK",511
J5762384          ,"W/S, DOOR GLASS",500
J5762385          ,"W/S, DOOR GLASS",465
J5763696          ,WIPER MOTOR    ,76
J5764204          ,TAIL LAMP ASSY ,134
J5764220          ,"CORNER PANEL, R",305
J5764221          ,"CORNER PANEL, L",127
J5764646          ,"BASE, LAMP     ",743
J5764647          ,"BASE, LAMP     ",612
J5764665          ,"TRAY, BATTERY  ",915
J5965338          ,"MIRROR,REARVIEW",55
J6416783          ,"PUMP, FUEL     ",3
J8050461          ,MASTER CYLINDER,11
J8053050          ,"GASKET, VALVE C",619
J8060602          ,"ELEMENT, FILTER",24
J8060604          ,"HOSE, RADIATOR ",28
J8120028          ,ARMATURE       ,24
J8120030          ,"BUSHING,STARTER",21
J8120097          ,SECTOR         ,-5
J8120143          ,"CABLE, ACCELERA",517
J8120193          ,DRIVE ASSY.    ,21
J8120221          ,"SHAFT, SECTOR  ",371
J8120280          ,"CASE, DIFFERENT",36
J8120325          ,DIFF. DISC KIT ,302
J8120326          ,"GEAR SET, DIFF.",100
J8120358          ,SEAL           ,756
J8120360          ,"GASKET, DIFF.  ",222
J8120393          ,SHOE & LINING  ,21
J8120512          ,"BOLT, ROCKER AR",842
J8120831          ,"WASHER, SPIDER ",41
J8120832          ,"WASHER, DIFF.  ",60
J8120984          ,"GASKET, AUTO TR",138
J8120997          ,COIL SET       ,3
J8121156          ,CAMSHAFT       ,19
J8121274          ,"MANIFOLD, EXH. ",131
J8121299          ,"COUPLING, STRG.",335
J8121364          ,NUT            ,407
J8121365          ,SPLIT RING     ,410
J8121391          ,NUT            ,422
J8121392          ,"PIN, COTTER    ",5008
J8121399          ,"SEAL, OIL      ",1999
J8121402          ,"BEARING,SPINDLE",2132
J8121403          ,"SPINDLE,STRG.  ",-1
J8121654          ,PISTON         ,1
J8121658          ,PISTON .040"   ,1
J8121683          ,"RING SET, STD. ",5
J8121683020       ,"RING SET, .020 ",1
J8121684          ,"RING SET, .010 ",5
J8121685          ,"RING SET,PISTON",8
J8121781          ,"SEAL, AXLE     ",3335
J8121789          ,RESISTOR       ,192
J8121813          ,THRUST WASHER  ,5441
J8122225          ,"CABLE, CLUTCH  ",387
J8122343          ,ROTOR          ,9
J8122350          ,CONTROL        ,29
J8122379          ,DIFFERENTIAL KI,0
J8122389          ,"GASKET,CASE HAL",297
J8122390          ,"BEARING,SPROCKE",14
J8122392          ,"CHAIN, TRANSFER",142
J8122404          ,SEAL           ,1966
J8122406          ,O-RING         ,1148
J8122409          ,"GASKET, DIFF.  ",1129
J8122442          ,"MANIFOLD, EXH. ",10
J8122473          ,"GAUGE, OIL PRES",949
J8122495          ,BALL JOINT     ,10
J8122496          ,"BALL JOINT,LOWE",409
J8122690          ,BEARING        ,17
J8122710          ,WASHER         ,2557
J8122971          ,"CYLINDER, LOCK ",260
J8123023          ,"SEAL,SHIFT FORK",1042
J8123024          ,"SEAL, VACUUM   ",984
J8123042          ,"FILTER, TRANS. ",442
J8123077          ,"SEAL, OUTPUT   ",2443
J8123141          ,"CAP, GAS       ",77
J8123287          ,"LOCK, VALVE    ",1830
J8123301          ,"U-JOINT,STEERIN",-1
J8123315          ,TIE ROD END    ,267
J8123318          ,"NUT, SLOTTED   ",613
J8123320          ,"SLEEVE,ADJUSTIN",609
J8124026          ,BEARING KIT    ,5
J8124027          ,BEARING KIT    ,7
J8124051          ,BEARING KIT    ,24
J8124052          ,PINION BRG KIT ,28
J8124071          ,"BEARING KIT,DIF",20
J8124287          ,DRUM           ,9
J8124362          ,SNAP RING      ,655
J8124378          ,CALIPER ASSY   ,-2
J8124379          ,CALIPER ASSY   ,-2
J8124386          ,GEAR & PINION  ,2
J8124460          ,"PUMP, FUEL     ",6
J8124513          ,"ADJUSTER KIT, L",30
J8124514          ,"ADJUSTER KIT, R",32
J8124517          ,BRAKE SCREW KIT,11
J8124518          ,BRAKE SCREW KIT,58
J8124524          ,"ADJUSTER KIT, L",11
J8124525          ,"ADJUSTER KIT, R",5
J8124527          ,BRAKE SPRING KI,0
J8124566          ,"KIT,WH.CYLINDER",10
J8124571          ,"PISTON, BRAKE  ",13
J8124572          ,"BOLT, CALIPER  ",31
J8124573          ,"SPRING,PAD SUP.",20
J8124580          ,SHOE & LINING  ,62
J8124644          ,GEAR           ,89
J8124670          ,"GAUGE, TEMPERAT",1300
J8124691          ,OVERHAUL SET   ,16
J8124695          ,GASKET SET     ,2
J8124777          ,GEAR & PINION  ,0
J8124779          ,BEARING KIT    ,65
J8124791          ,"SHIM SET,CARRIE",38
J8124799          ,"CYLINDER, WHEEL",15
J8124803          ,"STUD, FRONT    ",4734
J8124804          ,"STUD, FRONT    ",3955
J8124816          ,TIE ROD END    ,24
J8124817          ,TIE ROD END    ,-1
J8124818          ,"NUT, SLOTTED   ",814
J8124832          ,"SEAL, FRONT AXL",1760
J8124847          ,"STUD, SPINDLE  ",7360
J8124853          ,"GASKET, F. BRG.",375
J8124880          ,"RETAINER,F. BRG",77
J8124883          ,SNAP RING      ,4272
J8124895          ,"PLATE, SYNCHRON",5397
J8124896          ,"SPRING, SYNCHRO",3154
J8124898          ,"RING SET, SYNCH",156
J8124899          ,"GEAR, SECOND   ",12
J8124900          ,"DRUM, BRAKE    ",0
J8124902          ,"GEAR, LOW      ",123
J8124904          ,"PLATE, SYNCHRON",46517
J8124905          ,"SPRING, SYNCHRO",4725
J8124907          ,CLUSTER GEAR   ,80
J8124912          ,"SHAFT,REV. IDLE",-1
J8124913          ,"GEAR,REV. IDLER",245
J8124915          ,"WASHER, REVERSE",3916
J8124930          ,SNAP RING      ,9929
J8124932          ,"PIN, REV. IDLER",1059
J8124934          ,SNAP RING      ,1151
J8124935          ,SNAP RING      ,887
J8124936          ,WASHER         ,2607
J8124939          ,SMALL PARTS KIT,33
J8124957          ,"DRUM, BRAKE    ",9
J8124999          ,"MANIFOLD, EXH. ",46
J8125028          ,"COIL, IGNITION ",18
J8125030          ,GASKET & SEAL S,39
J8125037          ,"SEAL KIT, STRG.",-1
J8125038          ,"SEAL, STEERING ",-3
J8125039          ,SEAL KIT       ,3
J8125123          ,"CORE, HEATER   ",7
J8125176          ,"REGULATOR, VOLT",3
J8125448          ,"CAP, DISTRIBUTO",5
J8125534          ,"REPAIR KIT, CAL",247
J8125556          ,"BELLOWS KIT, ST",101
J8125722          ,"GASKET SET, LOW",88
J8125723          ,BULB (74)      ,73
J8125727          ,"GASKET SET, LOW",97
J8125847          ,SHOE & LINING  ,24
J8125869          ,"GASKET SET, INT",60
